,number of physical interaction,number of positive genetic interaction,number of negative genetic interaction
YGL220W,4,2.0,32.0
YJR053W,10,12.0,109.0
YLR262C,21,160.0,386.0
YLR216C,60,1.0,28.0
YFR014C,177,7.0,20.0
YGR280C,7,,2.0
YAL036C,16,9.0,23.0
YJL044C,10,6.0,64.0
YDL164C,18,106.0,305.0
YBR055C,50,7.0,123.0
YPL236C,5,2.0,34.0
YDL013W,26,26.0,69.0
YPL031C,458,4.0,24.0
YMR199W,8,27.0,119.0
YLR306W,7,13.0,80.0
YLL050C,14,29.0,289.0
YOR229W,9,6.0,9.0
YOR230W,13,6.0,33.0
YOL100W,48,,11.0
YOR090C,64,9.0,11.0
YPL074W,6,4.0,33.0
YJR007W,18,3.0,59.0
YBR217W,53,12.0,80.0
YDR076W,8,8.0,77.0
YBL036C,8,,
YKL161C,17,2.0,33.0
YIL095W,84,2.0,31.0
YMR104C,23,1.0,29.0
YNL098C,15,10.0,110.0
YBR280C,6,,9.0
YDL132W,38,12.0,133.0
YCR084C,47,,
YPL194W,8,11.0,134.0
YPR111W,12,4.0,25.0
YOL094C,18,10.0,173.0
YPR015C,6,,21.0
YLL010C,4,6.0,31.0
YDR328C,90,,
YNL161W,46,,19.0
YPL259C,28,5.0,83.0
YDR488C,7,26.0,156.0
YER179W,22,1.0,9.0
YMR106C,72,2.0,7.0
YFL014W,3,,3.0
YPR165W,42,5.0,50.0
YIL046W,25,7.0,147.0
YNL230C,28,6.0,43.0
YGR223C,6,4.0,20.0
YPL164C,125,1.0,24.0
YGL116W,34,107.0,410.0
YMR022W,12,22.0,78.0
YOR174W,18,52.0,144.0
YER112W,68,5.0,69.0
YMR093W,25,14.0,147.0
YER054C,5,,4.0
YPL003W,3,5.0,60.0
YBR203W,2,13.0,30.0
YOL054W,69,3.0,36.0
YMR146C,13,104.0,196.0
YDR113C,9,4.0,98.0
YHR115C,31,1.0,5.0
YKL048C,29,22.0,186.0
YBR195C,10,1.0,30.0
YLR097C,9,1.0,18.0
YJL149W,3,,18.0
YBL049W,8,4.0,12.0
YER020W,17,,
YML058W,32,2.0,23.0
YGL004C,21,,1.0
YDR394W,34,47.0,244.0
YOR125C,6,11.0,101.0
YCR088W,29,1.0,30.0
YLR383W,220,13.0,89.0
YOR080W,47,1.0,92.0
YNR019W,2,8.0,47.0
YIL007C,14,4.0,61.0
YPR104C,6,36.0,123.0
YDR398W,30,,
YKL103C,17,,8.0
YHR183W,5,,
YDL190C,20,11.0,58.0
YOR191W,13,4.0,41.0
YGR262C,37,1.0,47.0
YHL010C,33,,10.0
YLR238W,6,4.0,134.0
YHR152W,55,3.0,47.0
YER125W,215,53.0,347.0
YNL244C,40,,
YER041W,17,,21.0
YPR119W,64,12.0,71.0
YER075C,7,10.0,54.0
YJL042W,1,4.0,69.0
YJL173C,16,13.0,108.0
YFL034W,3,3.0,19.0
YNL099C,4,11.0,12.0
YNL056W,7,15.0,94.0
YMR235C,7,66.0,250.0
YPR073C,2,3.0,11.0
YLR233C,137,73.0,85.0
YNL157W,35,,11.0
YGL058W,31,5.0,72.0
YBR223C,6,,8.0
YKL021C,43,159.0,262.0
YNL106C,17,17.0,54.0
YPR017C,11,,24.0
YFL009W,36,42.0,241.0
YBR094W,5,,6.0
YPL126W,18,,
YML095C,15,1.0,15.0
YBR276C,3,6.0,3.0
YMR059W,57,1.0,23.0
YLR340W,31,13.0,133.0
YMR094W,11,26.0,105.0
YOL128C,28,2.0,5.0
YML029W,11,2.0,20.0
YOR005C,18,52.0,136.0
YCR092C,11,2.0,21.0
YKL113C,12,23.0,170.0
YER012W,110,42.0,150.0
YPL115C,12,14.0,72.0
YDR177W,12,2.0,115.0
YFL033C,25,15.0,113.0
YJR042W,22,,
YGL100W,37,100.0,223.0
YDL116W,48,22.0,128.0
YKL108W,32,,
YKL189W,18,,
YHR199C,4,35.0,54.0
YML064C,127,8.0,160.0
YFL034C-B,5,203.0,731.0
YDL006W,8,20.0,247.0
YPL051W,6,26.0,203.0
YER173W,16,3.0,58.0
YLR427W,27,3.0,18.0
YLR403W,17,,3.0
YLR248W,73,3.0,6.0
YLR113W,220,19.0,64.0
YLR096W,99,2.0,55.0
YML102W,22,17.0,82.0
YDR482C,36,14.0,84.0
YDR395W,16,9.0,39.0
YDR217C,8,35.0,97.0
YHR082C,210,14.0,126.0
YBR083W,13,6.0,28.0
YDR225W,98,55.0,164.0
YNL032W,7,7.0,35.0
YJL157C,19,,3.0
YOR212W,29,,
YPL135W,18,11.0,135.0
YGR067C,8,6.0,4.0
YFR016C,8,2.0,12.0
YER142C,16,7.0,43.0
YLR186W,12,7.0,72.0
YIL142W,7,16.0,163.0
YNL154C,243,14.0,93.0
YGL208W,12,16.0,66.0
YOR272W,47,9.0,86.0
YOR351C,68,15.0,70.0
YJL090C,27,84.0,285.0
YPR054W,21,7.0,5.0
YHR030C,79,30.0,245.0
YDR131C,3,1.0,22.0
YML088W,21,32.0,101.0
YGL158W,142,7.0,23.0
YNL250W,32,8.0,114.0
YDR369C,16,1.0,80.0
YOR227W,3,1.0,13.0
YML115C,5,30.0,237.0
YDL225W,19,36.0,168.0
YDL193W,5,37.0,197.0
YDL059C,31,3.0,6.0
YKL011C,1,27.0,73.0
YPL140C,22,1.0,30.0
YIL063C,18,,5.0
YOL045W,27,6.0,59.0
YAL017W,27,2.0,10.0
YMR201C,15,23.0,50.0
YMR291W,20,12.0,31.0
YLR352W,2,2.0,60.0
YIL128W,12,21.0,104.0
YDR460W,12,1.0,4.0
YDL101C,54,13.0,124.0
YJL165C,31,4.0,74.0
YLR019W,12,9.0,34.0
YAR019C,61,90.0,75.0
YCR091W,35,4.0,72.0
YBR136W,50,19.0,139.0
YIL113W,6,6.0,29.0
YNL175C,50,,50.0
YDL074C,30,26.0,239.0
YMR198W,20,58.0,279.0
YDL043C,54,8.0,114.0
YDR146C,25,40.0,126.0
YHR073W,8,5.0,27.0
YHR119W,39,79.0,272.0
YPL235W,308,14.0,71.0
YPL026C,50,4.0,21.0
YIL147C,9,8.0,51.0
YHR188C,3,80.0,320.0
YMR036C,15,6.0,53.0
YDR316W,9,11.0,221.0
YER059W,10,2.0,9.0
YER007W,7,3.0,67.0
YNL290W,13,2.0,34.0
YMR246W,9,12.0,17.0
YGL213C,26,31.0,87.0
YJL187C,145,5.0,43.0
YOL115W,37,80.0,167.0
YIL079C,37,2.0,10.0
YOL126C,16,19.0,94.0
YOR353C,4,52.0,231.0
YDR142C,23,13.0,28.0
YLL019C,30,11.0,70.0
YHR120W,13,35.0,60.0
YDL134C,35,26.0,57.0
YOL108C,24,81.0,158.0
YJR052W,8,4.0,10.0
YER161C,35,7.0,98.0
YOL113W,54,2.0,28.0
YIR034C,5,,
YNL068C,13,14.0,66.0
YNL307C,167,29.0,225.0
YDR219C,3,14.0,46.0
YJR022W,72,78.0,331.0
YBL026W,69,12.0,118.0
YHR166C,21,86.0,248.0
YPL153C,135,33.0,262.0
YLR006C,6,4.0,19.0
YBR088C,43,21.0,241.0
YGL090W,11,14.0,22.0
YPR093C,34,6.0,27.0
YKL215C,3,1.0,30.0
YDR143C,51,4.0,38.0
YDL213C,64,20.0,86.0
YDR267C,9,2.0,46.0
YDR335W,38,16.0,64.0
YHR186C,72,53.0,152.0
YDR128W,18,12.0,68.0
YER100W,14,19.0,103.0
