Majority protein IDs,hYPS1009 wt rep1,hYPS1009 wt rep2,hYPS1009 wt rep3
YNR043W,10405000000,9873200000,10476000000
YEL031W,8572500000,6806000000,7715800000
YOR298C-A,14847000000,14562000000,15438000000
YOR167C;YLR264W,10775000000,14597000000,8475900000
YGR103W,8854900000,8583000000,9552600000
YER006W,7432700000,9119700000,7061600000
YPL237W,8992700000,9276600000,8257300000
YBL047C,6167600000,7430800000,5968900000
YNL162W;YHR141C,16279000000,22533000000,19067000000
YDR342C,3153800000,3168200000,2675500000
YLR185W,29156000000,23032000000,34535000000
YGR264C,9881200000,8145500000,10330000000
YLR325C,6351900000,8652000000,5254400000
YMR031C,6499900000,8495500000,6534900000
YPL093W,8530300000,8934900000,9221500000
YOL097C,9277400000,9052900000,8833700000
YGL078C,8772300000,10375000000,9203800000
YDR381W,10015000000,11027000000,10590000000
YLR335W,7410600000,8696000000,7265600000
YNL247W,7899900000,7659900000,7788100000
YIL142W,8730100000,8823800000,8420000000
YMR120C,10830000000,11066000000,10824000000
YDR127W,6994400000,5570000000,7295100000
YGL055W,6559500000,6236100000,6971300000
YNL061W,7946000000,9092500000,7894500000
YGL026C,8568300000,8113800000,8131100000
YHR128W,6672400000,6412600000,6480900000
YMR183C,5732800000,6981800000,5109700000
YOR117W,6652400000,7927400000,7148300000
YIL022W,5341700000,6636100000,5299700000
YHR052W,6777800000,6929000000,6636400000
YKL035W,10531000000,9739500000,11027000000
YPR033C,8844600000,7628300000,8686500000
YKL172W,10833000000,12764000000,10265000000
YNL209W,5089700000,7051900000,4640000000
YLR432W,6966600000,7546300000,7559600000
YPR183W,7608400000,6838900000,7563500000
YPL043W,5853400000,7044700000,5868800000
YDR150W,5858300000,6410900000,5708100000
YPR110C,8141500000,8813900000,7726600000
YAL023C,5924300000,5933700000,5487100000
YLR303W,4027700000,3748600000,3968000000
YKL196C,5100700000,5576400000,5450200000
YMR309C,6917100000,6767600000,7045100000
YGR178C,6353200000,7350600000,6338900000
YDL143W,7069400000,6761900000,7532200000
YNL098C,5721100000,6250500000,5591600000
YLR192C,8411300000,8429300000,10536000000
YCL050C,7245900000,8022800000,8207500000
YGR211W,6090100000,6405600000,5533000000
YIL051C,5394100000,7457100000,6651700000
YPL145C,6556000000,6701200000,6400000000
YPL048W,9406400000,7132000000,9930500000
YGL206C,8580300000,6361000000,8807400000
YPL078C,4749500000,4091100000,5250700000
YJL008C,7482400000,6525800000,7589700000
YER178W,8163800000,8672500000,8829000000
YJR064W,5877600000,6193500000,5923700000
YNR001C,5563900000,5135900000,6263800000
YJL052W,8338600000,5812700000,6452400000
YOR191W,5863700000,7639400000,7306700000
YPR035W,7359300000,6862300000,7680300000
YHR208W,7661400000,6905700000,6551200000
YMR246W,8752200000,8456700000,9541800000
YDR429C,6313300000,6948700000,7176200000
YKL009W,5435400000,6297000000,5119600000
YDL182W,11925000000,9483400000,10802000000
YBL015W,4678100000,4722300000,4795300000
YOR230W,8842800000,8765600000,8635300000
YPR088C,6731300000,6759100000,6913100000
YCR084C,6076000000,5697300000,5790900000
YKL150W,5740300000,6677500000,6962900000
YIL033C,5256500000,5978500000,5112400000
YDL192W,8394900000,7162500000,7994300000
YPR010C,9668100000,8574200000,10318000000
YKL117W,4554300000,5875300000,4800900000
YLR342W,7379200000,6122200000,7167100000
YIR006C,5280200000,5868500000,5061600000
YNL002C,5251500000,5332000000,5725200000
YDR502C,5202300000,4945000000,4594300000
YMR226C,5017700000,5224400000,4560500000
YDL022W,7072300000,6317500000,6711500000
YDL051W,7263300000,7468900000,7394800000
YLR359W,9322700000,8084400000,10317000000
YML072C,5373900000,5664300000,5261900000
YGL030W,20558000000,19803000000,15501000000
YPR145W,6809300000,6093100000,6824800000
YBR072W,7845400000,6288700000,7548100000
YHR107C,5816000000,6481500000,6085700000
YPL111W,4594700000,3815800000,4475700000
YKL148C,3608400000,4498400000,3989800000
YGR152C,6673300000,5827100000,5807000000
YDR341C,8735300000,7356800000,9522600000
YIL125W,5546300000,5429500000,5862600000
YKR094C;YIL148W;YLL039C,9110900000,7882000000,13161000000
YDR101C,5589500000,5178800000,5576800000
YDR071C,4032300000,4018000000,3697000000
YCL009C,5419700000,5100000000,5330100000
YGL147C,6011800000,6183200000,6349000000
YER177W,2842800000,2239800000,3034200000
YLR449W,5489700000,7195600000,5266800000
YML074C,7104300000,8151600000,6397200000
YGR189C,2606200000,2829900000,2463600000
YDL145C,6404400000,5364600000,6559200000
YNR053C,5444100000,5290600000,5313700000
YNL287W,5264300000,4653900000,5268400000
YOL123W,5473900000,6647800000,5217400000
YDR212W,5982900000,6158400000,6115900000
YNL007C,5770900000,7392000000,5742200000
YJL189W,1971200000,2208400000,2003800000
YER023W,4315100000,3638500000,4431300000
YER086W,7847500000,7729700000,7645500000
YKR048C,4081900000,4063200000,3440100000
YFL038C,4666300000,4036500000,4657600000
YMR079W,5745800000,4715600000,6291500000
YGR229C,4570600000,5518800000,4172800000
YPL019C,4256300000,4225700000,3884100000
YCL030C,6912900000,7104100000,6521300000
YOR136W,5384400000,5391500000,6387900000
YPL085W,4794000000,5731500000,4928900000
YJL020C,4198300000,5025600000,4227100000
YFL037W,6485500000,6098800000,6547400000
YGR054W,6253300000,5813400000,5918700000
YJR077C,5975100000,4520600000,6661300000
YHR027C,5788500000,4776700000,6051600000
YDR399W,5832000000,6228600000,5603100000
YGR209C,12813000000,17148000000,11946000000
YML010W,4305700000,4457200000,4132400000
YEL040W,3249400000,3478900000,2944400000
YER090W,4928500000,4861700000,4763200000
YMR121C,4501700000,6791700000,4696700000
YDL140C,6257100000,5629000000,6065300000
YLR196W,6657400000,7187200000,6736500000
YEL046C,7382300000,5255300000,6678000000
YDR188W,6268100000,6228100000,6598300000
YJL200C,6277400000,6227500000,6168100000
YGR279C,4873100000,5516500000,4829300000
YBR029C,5052500000,3840200000,4967100000
YNL220W,7430200000,6149500000,6813200000
YPL260W,4243600000,4127700000,4224600000
YNL189W,5178600000,4779700000,5239400000
YJR007W,5453400000,4300100000,5963100000
YJL012C,4279500000,3937500000,4329000000
YDR190C,5276900000,4904700000,4914600000
YKR095W,3644300000,4311600000,3230700000
YNL135C,11200000000,9925900000,13046000000
YJL026W,5922000000,4812100000,6126500000
YLR061W,9157300000,15339000000,9302700000
YML078W,5083200000,6244100000,5653500000
YDR529C,2559100000,3847400000,3733100000
YDL100C,5403300000,4788300000,4839900000
YOR362C,4606600000,4922500000,4380200000
YOR142W,3285500000,4067600000,3226800000
YMR056C,4678000000,3138300000,4377700000
YNL016W,3645600000,3530100000,3633400000
YNL175C,4971900000,6034200000,5079100000
YKR046C,3303400000,3418200000,3616500000
YDR234W,5317600000,5946500000,5266200000
YER122C,4755300000,5352800000,4779200000
YPL006W,2501400000,2468800000,2358400000
YER156C,4047100000,3438600000,4001800000
YMR131C,4835300000,4857200000,4730100000
YKL016C,2035800000,3076300000,2869100000
YPR069C,5008500000,3970500000,5678500000
YPR181C,6035000000,4701400000,7149600000
YHR025W,4694500000,4906100000,5162500000
YGR130C,3672000000,3975900000,3474700000
YKL145W,4295400000,4210700000,4176500000
YNL138W,3873800000,3447600000,3749400000
YMR260C,11877000000,12557000000,10900000000
YPL273W,4263300000,4150900000,4438400000
YPR112C,3243100000,3545400000,2899800000
YPL240C,2898300000,2695000000,2956000000
YLR244C,5444600000,5714700000,4754000000
YDR232W,4032900000,3825600000,5204500000
YLR314C,3882200000,4260900000,3659800000
YDL226C,5229200000,6170300000,5001900000
YOL145C,4861800000,3921700000,4860700000
YJL076W,4002000000,4596900000,3747200000
YGR180C,6757600000,4937700000,6955500000
YGR214W,1748600000,3060900000,1207900000
YBR149W,3532400000,3079300000,3236400000
YNL188W,3699700000,3053800000,3600100000
YFL016C,3456100000,4241300000,3172300000
YCL018W,4122100000,4013800000,4054600000
YMR235C,5244300000,3951400000,5248700000
YDL007W,3372900000,3911300000,3426200000
YML075C,5283800000,4629800000,5276900000
YOR095C,5164500000,5504700000,5625800000
YOR151C,5222700000,4767700000,5576800000
YGL207W,5346100000,4915400000,5729500000
YMR049C,5362700000,4545600000,4795200000
YHR008C,3071100000,3555900000,2898000000
YPL262W,4164500000,4388700000,4320700000
YOR270C,5379100000,3421500000,4833900000
YGR135W,3370900000,2900400000,3202200000
YDR194C,3308400000,3010400000,3430600000
YMR276W,4200100000,5350900000,4364600000
YMR072W,2382400000,3677500000,3577500000
YLL008W,4081500000,4294300000,3930000000
YLL021W,3710100000,4103400000,3462000000
YOR065W,4153500000,4246200000,4963400000
YHR068W,5051500000,3841400000,4968400000
YNL248C,4746200000,5442100000,4720200000
YEL058W,2737700000,2936600000,2881000000
YHR104W,4305100000,3964700000,4454600000
YOR046C,4531900000,4287500000,4408400000
YDR500C,9406500000,8465800000,10572000000
YHR089C,3301300000,3819000000,4380200000
YPL117C,5224600000,4821400000,5522000000
YDL208W,8217100000,8203000000,7724200000
YHR066W,4005100000,4342900000,3474100000
YHR042W,4262600000,3750400000,4425000000
YER048C,2927000000,3376100000,2658400000
YNR051C,3874800000,4993500000,3893700000
YDR060W,4908500000,4882800000,5199900000
YDR168W,2593100000,2963700000,2524600000
YEL047C,4345500000,4627300000,4141300000
YLR438W,5749900000,4976900000,5406200000
YGR244C,2720200000,2715900000,2680600000
YBR221C,3872100000,3275800000,3895700000
YBL004W,5542900000,3808800000,6013500000
YOL077C,4672000000,3405900000,4926400000
YMR290C,4820500000,4010000000,4953800000
YFR009W,4432000000,4387600000,4461100000
YOL027C,4234100000,4520600000,4202700000
YMR203W,4462800000,4082100000,4375200000
YGL043W,3089400000,3797300000,3322900000
YHL011C,4295300000,4203500000,4624800000
YER126C,3752000000,4341200000,4031500000
YML093W,4084000000,4988800000,4009000000
YMR315W,2229700000,2417800000,2290800000
YLR410W,3351500000,3370100000,3279600000
YLR276C,4049500000,4156400000,4198000000
YDR365C,4788500000,5246400000,4265300000
YPL217C,4152100000,4511200000,4051800000
YPL235W,4257000000,3412700000,4580600000
YMR300C,4219300000,4174300000,4097300000
YBL007C,3199500000,3654400000,3022500000
YJR002W,3625000000,4131500000,3487800000
YPL232W,2257400000,2954400000,2320700000
YNR073C;YEL070W,1172400000,535510000,1263400000
YOL038W,3276200000,3307700000,2900600000
YJL111W,4575100000,3975900000,4774500000
YBR248C,4983500000,4743100000,4828600000
YDR035W,3199100000,3308400000,2931600000
YOR206W,3517900000,3700800000,3282800000
YGL120C,4727400000,4207700000,4745700000
YJL123C,3442300000,3445100000,2842800000
YNL241C,3508400000,2942500000,3715600000
YNL104C,4352000000,3305500000,4612100000
YMR011W,3359600000,3208500000,2804700000
YDL095W,2814100000,2165200000,2422000000
YFR037C,3448100000,3459200000,3230300000
YGR253C,4011800000,3787600000,3929500000
YGR231C,3031700000,3588200000,2953000000
YIL075C,4225600000,3763600000,4853600000
YOL061W,3691900000,3304200000,3633500000
YMR314W,3117300000,2875200000,3018900000
YBR049C,3165700000,3549500000,2677300000
YGR193C,3317600000,3942400000,3450800000
YHR007C,4077300000,3365600000,3783200000
YML070W,3535900000,3491400000,3222900000
YKL080W,5178200000,4306300000,5391300000
YGL048C,3819800000,4272600000,3680800000
YDR394W,4281500000,3958700000,4770500000
YBR086C,2689800000,2717500000,2660300000
YKL181W,3916300000,3440900000,4005900000
YFR051C,3528100000,3286900000,3818400000
YDR068W,3516100000,4740900000,3424100000
YFR016C,3061200000,3655800000,3033400000
YGL137W,4220600000,3268200000,4368500000
YLR028C,3978500000,3823500000,3793000000
YGL221C,3675300000,3177800000,3497900000
YHR146W,3967100000,5097300000,3993700000
YNR071C,1019800000,731420000,909850000
YPR133C,3521100000,4173700000,3781300000
YER087C-B,3042600000,2821600000,3140600000
YBR112C,3175900000,3459300000,3201100000
YPR060C,3837800000,4196700000,4181900000
YFR030W,2486300000,2035800000,2211200000
YLR388W,2050100000,2462800000,2637200000
YNL216W,2891200000,3281000000,2817500000
YEL071W,4726900000,4033100000,5053900000
YKL094W,3236100000,3299100000,3222200000
YDR238C,3693200000,2663900000,3628300000
YPL079W,4639300000,4447400000,5891000000
YCL059C,2488400000,2934400000,2413400000
YPL239W,2726700000,2830600000,3260200000
YER070W,4627300000,3972200000,4689900000
YER089C,2875800000,3019800000,2757500000
YER049W,5224700000,3633300000,5203600000
YPL249C-A,5248400000,5808200000,4955200000
YBR142W,3646000000,3870500000,3817600000
YMR241W,4305500000,3780500000,4802100000
YDR321W,3102200000,3261000000,3224600000
YGL049C,2929500000,3266100000,2764300000
YCR004C,2733100000,2456900000,2788700000
YLR134W,3625000000,84682000,25471000
YGR145W,2839500000,3182700000,2875000000
YLR401C,3716300000,4079500000,3653400000
YBR247C,3652300000,3788700000,3813000000
YDR377W,2608100000,4771400000,3117300000
YDR177W,2626200000,3093200000,2642200000
YML106W,3889200000,3433200000,5197800000
YGR116W,3297900000,3060900000,3192000000
YML105C,2846400000,3316700000,3177300000
YGL173C,4198300000,3808000000,4649900000
YKL027W,4149200000,3588700000,4303600000
YDL103C,3162400000,3363800000,2935900000
YFL048C,2388600000,2828200000,2534800000
YKL195W,3092100000,3622700000,2855500000
YOR239W,3377900000,3789300000,2790200000
YGL187C,3072400000,3021800000,3840200000
YPL091W,3605600000,3763400000,3242500000
YGL011C,3231900000,3143500000,3235400000
YNL132W,3934000000,3757700000,4141800000
YPR148C,2196500000,2324300000,2170200000
YNL111C,2308500000,2856600000,1994300000
YIL043C,3751400000,3721700000,3658400000
YKL067W,3909200000,4034600000,4044900000
YFL014W,3365900000,3310400000,5062000000
YER073W,3607900000,3440600000,3292000000
YKL212W,3195200000,2697800000,3200400000
YGR119C,2523300000,3098900000,2449100000
YKL112W,2582000000,2622900000,2349600000
YDR299W,3166000000,3455600000,3184800000
YNL169C,1955500000,1961600000,2207900000
YCL054W,2988100000,3347700000,2756900000
YDR086C,2907400000,3432600000,2569400000
YML092C,3035100000,2895100000,3131300000
YIL115C,2477100000,2733100000,2349200000
YJL050W,4106200000,3604400000,4253600000
YCL040W,2788400000,2314800000,2869900000
YIL038C,2758800000,2898000000,2522500000
YDL078C,3012600000,3541400000,3436400000
YEL060C,2328500000,2497700000,2478200000
YIR004W,1987000000,2377500000,1883500000
YLR330W,3081600000,3211500000,2972500000
YGR132C,2636500000,2782900000,2514600000
YPL243W,3279100000,3030600000,3136800000
YML120C,2119800000,2128100000,2164700000
YPR036W,3334900000,2165400000,3061700000
