Protein.genes.secondaryIdentifier	Protein.proteinHalfLife.units	Protein.proteinHalfLife.value	Protein.proteinHalfLife.publication.firstAuthor	Protein.proteinHalfLife.publication.year
YGL178W	hr	2.9	Christiano R	2014
YGL180W	hr	33.5	Christiano R	2014
YGL181W	hr	6.9	Christiano R	2014
YGL185C	hr	15.9	Christiano R	2014
YGL187C	hr	5.3	Christiano R	2014
YGL189C	hr	10.2	Christiano R	2014
YGL190C	hr	8.8	Christiano R	2014
YGL191W	hr	2.3	Christiano R	2014
YGL194C	hr	4.5	Christiano R	2014
YGL195W	hr	10.9	Christiano R	2014
YGL196W	hr	13.5	Christiano R	2014
YGL197W	hr	7.4	Christiano R	2014
YGL200C	hr	12.8	Christiano R	2014
YGL201C	hr	8.6	Christiano R	2014
YGL202W	hr	12.5	Christiano R	2014
YGL203C	hr	4.0	Christiano R	2014
YGL206C	hr	10.4	Christiano R	2014
YGL207W	hr	14.3	Christiano R	2014
YGL208W	hr	11.1	Christiano R	2014
YGL210W	hr	10.3	Christiano R	2014
YGL211W	hr	14.2	Christiano R	2014
YGL212W	hr	1475.6	Christiano R	2014
YGL213C	hr	10.5	Christiano R	2014
YGL216W	hr	5.0	Christiano R	2014
YGL219C	min	32.1	Christiano R	2014
YGL220W	hr	9.5	Christiano R	2014
YGL221C	hr	10.0	Christiano R	2014
YGL222C	hr	1.4	Christiano R	2014
YGL223C	hr	7.8	Christiano R	2014
YGL224C	hr	11.7	Christiano R	2014
YGL225W	hr	4.6	Christiano R	2014
YGL226C-A	hr	6.1	Christiano R	2014
YGL227W	hr	8.2	Christiano R	2014
YGL228W	hr	8.1	Christiano R	2014
YGL231C	hr	8.8	Christiano R	2014
YGL232W	hr	10.1	Christiano R	2014
YGL233W	hr	9.5	Christiano R	2014
YGL234W	hr	9.6	Christiano R	2014
YGL236C	hr	8.3	Christiano R	2014
YGL237C	hr	5.1	Christiano R	2014
YGL238W	hr	9.5	Christiano R	2014
YGL241W	hr	9.0	Christiano R	2014
YGL242C	hr	21.9	Christiano R	2014
YGL243W	hr	2.5	Christiano R	2014
YGL244W	hr	4.9	Christiano R	2014
YGL245W	hr	10.9	Christiano R	2014
YGL246C	hr	11.5	Christiano R	2014
YGL252C	hr	11.3	Christiano R	2014
YGL253W	hr	17.8	Christiano R	2014
YGL254W	hr	6.7	Christiano R	2014
YGL255W	hr	10000.0	Christiano R	2014
YGL256W	hr	10000.0	Christiano R	2014
YGR001C	hr	10.2	Christiano R	2014
YGR002C	hr	6.8	Christiano R	2014
YGR003W	hr	24.4	Christiano R	2014
YGR005C	hr	8.9	Christiano R	2014
YGR006W	hr	10.1	Christiano R	2014
YGR007W	hr	12.7	Christiano R	2014
YGR008C	hr	3.7	Christiano R	2014
YGR009C	hr	7.6	Christiano R	2014
YGR010W	hr	10.7	Christiano R	2014
YGR012W	hr	11.6	Christiano R	2014
YGR013W	hr	7.6	Christiano R	2014
YGR017W	hr	10.5	Christiano R	2014
YGR019W	hr	9.3	Christiano R	2014
YGR020C	hr	10.6	Christiano R	2014
YGR021W	hr	8.8	Christiano R	2014
YGR024C	hr	6.4	Christiano R	2014
YGR026W	hr	5.9	Christiano R	2014
YGR028W	hr	4.3	Christiano R	2014
YGR029W	hr	8.3	Christiano R	2014
YGR030C	hr	8.4	Christiano R	2014
YGR031W	hr	13.7	Christiano R	2014
YGR033C	hr	7.3	Christiano R	2014
YGR034W	hr	10.5	Christiano R	2014
YGR037C	hr	12.2	Christiano R	2014
YGR038W	hr	7.1	Christiano R	2014
YGR040W	hr	8.3	Christiano R	2014
YGR041W	hr	5.8	Christiano R	2014
YGR042W	hr	4.7	Christiano R	2014
YGR043C	hr	30.4	Christiano R	2014
YGR044C	min	56.9	Christiano R	2014
YGR046W	min	50.2	Christiano R	2014
YGR047C	hr	7.3	Christiano R	2014
YGR048W	hr	9.6	Christiano R	2014
YGR049W	hr	11.0	Christiano R	2014
YGR054W	hr	10.6	Christiano R	2014
YGR055W	min	34.2	Christiano R	2014
YGR056W	hr	10000.0	Christiano R	2014
YGR057C	hr	7.3	Christiano R	2014
YGR058W	hr	4.8	Christiano R	2014
YGR060W	hr	2.7	Christiano R	2014
YGR061C	hr	9.2	Christiano R	2014
YGR062C	hr	11.2	Christiano R	2014
YGR068C	hr	8.8	Christiano R	2014
YGR071C	hr	10000.0	Christiano R	2014
YGR072W	hr	8.8	Christiano R	2014
YGR075C	hr	7.4	Christiano R	2014
YGR076C	hr	5.4	Christiano R	2014
YGR077C	hr	10000.0	Christiano R	2014
YGR078C	hr	9.6	Christiano R	2014
YGR080W	hr	11.6	Christiano R	2014
YGR081C	hr	4.0	Christiano R	2014
YGR082W	hr	9.3	Christiano R	2014
YGR083C	hr	9.8	Christiano R	2014
YGR084C	hr	6.3	Christiano R	2014
YGR086C	hr	6.4	Christiano R	2014
YGR088W	hr	108.8	Christiano R	2014
YGR089W	hr	5.9	Christiano R	2014
YGR090W	hr	11.3	Christiano R	2014
YGR091W	hr	7.0	Christiano R	2014
YGR092W	hr	5.8	Christiano R	2014
YGR093W	hr	8.2	Christiano R	2014
YGR094W	hr	12.1	Christiano R	2014
YGR095C	hr	9.8	Christiano R	2014
YGR097W	hr	8.6	Christiano R	2014
YGR099W	hr	8.8	Christiano R	2014
YGR100W	hr	12.9	Christiano R	2014
YGR102C	hr	4.2	Christiano R	2014
YGR103W	hr	8.2	Christiano R	2014
YGR106C	min	54.0	Christiano R	2014
YGR111W	min	14.3	Christiano R	2014
YGR113W	hr	8.9	Christiano R	2014
YGR116W	hr	9.8	Christiano R	2014
YGR117C	hr	8.3	Christiano R	2014
YGR119C	hr	11.4	Christiano R	2014
YGR120C	hr	7.6	Christiano R	2014
YGR122W	hr	9.0	Christiano R	2014
YGR123C	hr	8.7	Christiano R	2014
YGR124W	hr	10.5	Christiano R	2014
YGR125W	hr	40.6	Christiano R	2014
YGR126W	hr	7.4	Christiano R	2014
YGR127W	hr	12.2	Christiano R	2014
YGR128C	hr	8.5	Christiano R	2014
YGR129W	hr	5.9	Christiano R	2014
YGR130C	hr	4.9	Christiano R	2014
YGR132C	hr	8.8	Christiano R	2014
YGR134W	hr	8.7	Christiano R	2014
YGR135W	hr	9.6	Christiano R	2014
YGR136W	hr	4.1	Christiano R	2014
YGR138C	hr	5.0	Christiano R	2014
YGR140W	hr	11.8	Christiano R	2014
YGR141W	hr	1.8	Christiano R	2014
YGR145W	hr	6.5	Christiano R	2014
YGR147C	hr	8.9	Christiano R	2014
YGR148C	hr	9.4	Christiano R	2014
YGR150C	hr	6.8	Christiano R	2014
YGR152C	hr	8.9	Christiano R	2014
YGR155W	hr	10.3	Christiano R	2014
YGR156W	hr	8.1	Christiano R	2014
YGR157W	hr	7.5	Christiano R	2014
YGR158C	hr	10.0	Christiano R	2014
YGR159C	hr	8.3	Christiano R	2014
YGR162W	hr	9.0	Christiano R	2014
YGR163W	hr	8.7	Christiano R	2014
YGR165W	hr	6.1	Christiano R	2014
YGR166W	hr	8.4	Christiano R	2014
YGR167W	hr	9.8	Christiano R	2014
YGR169C-A	hr	7.7	Christiano R	2014
YGR171C	hr	14.7	Christiano R	2014
YGR173W	hr	8.0	Christiano R	2014
YGR174C	hr	10.0	Christiano R	2014
YGR175C	hr	1.4	Christiano R	2014
YGR177C	hr	329.2	Christiano R	2014
YGR178C	hr	3.9	Christiano R	2014
YGR179C	hr	29.1	Christiano R	2014
YGR180C	hr	12.3	Christiano R	2014
YGR181W	hr	8.3	Christiano R	2014
YGR183C	hr	4.4	Christiano R	2014
YGR184C	hr	6.0	Christiano R	2014
YGR185C	hr	10.6	Christiano R	2014
YGR186W	hr	7.4	Christiano R	2014
YGR187C	hr	12.5	Christiano R	2014
YGR189C	hr	3.2	Christiano R	2014
YGR191W	hr	1.6	Christiano R	2014
YGR192C	hr	12.8	Christiano R	2014
YGR193C	hr	9.0	Christiano R	2014
YGR194C	hr	10.0	Christiano R	2014
YGR195W	hr	10.2	Christiano R	2014
YGR198W	hr	9.5	Christiano R	2014
YGR199W	hr	168.8	Christiano R	2014
YGR200C	hr	9.1	Christiano R	2014
YGR201C	hr	28.6	Christiano R	2014
YGR202C	hr	9.1	Christiano R	2014
YGR203W	hr	10.3	Christiano R	2014
YGR204W	hr	13.2	Christiano R	2014
YGR205W	hr	7.7	Christiano R	2014
YGR207C	hr	7.6	Christiano R	2014
YGR208W	hr	10.7	Christiano R	2014
YGR209C	hr	8.2	Christiano R	2014
YGR210C	hr	9.6	Christiano R	2014
YGR211W	hr	11.2	Christiano R	2014
YGR214W	hr	10000.0	Christiano R	2014
YGR215W	hr	4.6	Christiano R	2014
YGR218W	hr	12.1	Christiano R	2014
YGR220C	hr	7.9	Christiano R	2014
YGR222W	hr	7.0	Christiano R	2014
YGR223C	hr	9.5	Christiano R	2014
YGR229C	hr	7.5	Christiano R	2014
YGR231C	hr	7.1	Christiano R	2014
YGR232W	hr	10.7	Christiano R	2014
YGR233C	hr	9.2	Christiano R	2014
YGR234W	hr	17.0	Christiano R	2014
YGR235C	hr	3.5	Christiano R	2014
YGR237C	hr	7.0	Christiano R	2014
YGR240C	hr	12.8	Christiano R	2014
YGR241C	hr	6.1	Christiano R	2014
YGR244C	hr	6.8	Christiano R	2014
YGR245C	hr	4.6	Christiano R	2014
YGR246C	hr	2.2	Christiano R	2014
YGR248W	hr	12.7	Christiano R	2014
YGR250C	hr	4.8	Christiano R	2014
YGR251W	hr	4.8	Christiano R	2014
YGR252W	hr	7.6	Christiano R	2014
YGR253C	hr	11.4	Christiano R	2014
YGR254W	hr	10000.0	Christiano R	2014
YGR255C	hr	7.1	Christiano R	2014
YGR256W	hr	10000.0	Christiano R	2014
YGR257C	hr	7.6	Christiano R	2014
YGR258C	hr	4.4	Christiano R	2014
YGR260W	hr	1.5	Christiano R	2014
YGR261C	hr	9.5	Christiano R	2014
YGR262C	hr	11.3	Christiano R	2014
YGR263C	hr	9.2	Christiano R	2014
YGR264C	hr	10.4	Christiano R	2014
YGR266W	hr	7.6	Christiano R	2014
YGR267C	hr	14.1	Christiano R	2014
YGR268C	hr	8.2	Christiano R	2014
YGR270W	hr	9.6	Christiano R	2014
YGR271C-A	hr	7.1	Christiano R	2014
YGR271W	hr	9.4	Christiano R	2014
YGR274C	hr	12.7	Christiano R	2014
YGR275W	hr	7.4	Christiano R	2014
YGR276C	hr	6.0	Christiano R	2014
YGR277C	hr	12.1	Christiano R	2014
YGR278W	hr	27.1	Christiano R	2014
YGR279C	hr	3.1	Christiano R	2014
YGR280C	hr	4.1	Christiano R	2014
YGR281W	hr	10.4	Christiano R	2014
YGR282C	hr	8.1	Christiano R	2014
YGR283C	hr	11.6	Christiano R	2014
YGR284C	hr	9.2	Christiano R	2014
YGR285C	hr	9.9	Christiano R	2014
YGR286C	hr	8.9	Christiano R	2014
YGR287C	hr	7.4	Christiano R	2014
YHL001W	hr	10.6	Christiano R	2014
YHL002W	hr	4.3	Christiano R	2014
YHL003C	hr	14.9	Christiano R	2014
YHL004W	hr	4.6	Christiano R	2014
YHL007C	hr	9.2	Christiano R	2014
YHL009C	hr	2.9	Christiano R	2014
YHL010C	hr	10.0	Christiano R	2014
YHL011C	hr	12.1	Christiano R	2014
YHL013C	hr	10.6	Christiano R	2014
YHL014C	hr	8.6	Christiano R	2014
YHL015W	hr	10.1	Christiano R	2014
YHL017W	hr	37.7	Christiano R	2014
YHL020C	hr	3.0	Christiano R	2014
YHL021C	hr	11.5	Christiano R	2014
YHL023C	hr	9.6	Christiano R	2014
YHL025W	hr	9.6	Christiano R	2014
YHL027W	min	42.8	Christiano R	2014
YHL029C	hr	6.9	Christiano R	2014
YHL030W	hr	13.0	Christiano R	2014
YHL031C	hr	9.0	Christiano R	2014
YHL033C	hr	9.3	Christiano R	2014
YHL034C	hr	11.7	Christiano R	2014
YHL038C	hr	11.3	Christiano R	2014
YHL039W	hr	8.5	Christiano R	2014
YHL048W	hr	1.8	Christiano R	2014
YHR001W	hr	8.1	Christiano R	2014
YHR001W-A	hr	2.6	Christiano R	2014
YHR003C	hr	9.8	Christiano R	2014
YHR005C	hr	6.7	Christiano R	2014
YHR005C-A	hr	3.3	Christiano R	2014
YHR007C	hr	2.6	Christiano R	2014
YHR008C	hr	7.8	Christiano R	2014
YHR009C	hr	8.6	Christiano R	2014
YHR011W	hr	7.5	Christiano R	2014
YHR012W	hr	10.9	Christiano R	2014
YHR013C	hr	9.5	Christiano R	2014
YHR016C	hr	8.0	Christiano R	2014
YHR017W	hr	7.5	Christiano R	2014
YHR018C	hr	24.9	Christiano R	2014
YHR019C	hr	10.9	Christiano R	2014
YHR020W	hr	12.1	Christiano R	2014
YHR024C	hr	9.1	Christiano R	2014
YHR025W	hr	12.4	Christiano R	2014
YHR026W	hr	13.8	Christiano R	2014
YHR027C	hr	9.5	Christiano R	2014
YHR028C	hr	9.0	Christiano R	2014
YHR029C	hr	24.3	Christiano R	2014
YHR030C	hr	16.6	Christiano R	2014
YHR034C	hr	8.2	Christiano R	2014
YHR036W	hr	4.4	Christiano R	2014
YHR037W	hr	7.4	Christiano R	2014
YHR038W	hr	8.5	Christiano R	2014
YHR039C	hr	10.0	Christiano R	2014
YHR039C-A	hr	9.6	Christiano R	2014
YHR040W	hr	8.5	Christiano R	2014
YHR042W	hr	10.0	Christiano R	2014
YHR043C	hr	35.9	Christiano R	2014
YHR045W	hr	10.8	Christiano R	2014
YHR046C	hr	10.1	Christiano R	2014
YHR047C	hr	19.4	Christiano R	2014
YHR049W	hr	13.5	Christiano R	2014
YHR050W	hr	1.8	Christiano R	2014
YHR051W	hr	5.2	Christiano R	2014
YHR052W	hr	9.3	Christiano R	2014
YHR057C	min	53.9	Christiano R	2014
YHR058C	hr	9.7	Christiano R	2014
YHR059W	hr	6.3	Christiano R	2014
YHR060W	hr	10000.0	Christiano R	2014
YHR062C	hr	8.7	Christiano R	2014
YHR063C	hr	11.8	Christiano R	2014
YHR064C	hr	9.8	Christiano R	2014
YHR065C	hr	7.9	Christiano R	2014
YHR066W	hr	8.9	Christiano R	2014
YHR068W	hr	10.9	Christiano R	2014
YHR069C	hr	9.9	Christiano R	2014
YHR070W	hr	10.3	Christiano R	2014
YHR072W	hr	11.8	Christiano R	2014
YHR072W-A	hr	8.0	Christiano R	2014
YHR073W	hr	17.3	Christiano R	2014
YHR074W	hr	9.9	Christiano R	2014
YHR076W	hr	9.3	Christiano R	2014
YHR077C	hr	19.2	Christiano R	2014
YHR078W	hr	3.8	Christiano R	2014
YHR079C	hr	11.4	Christiano R	2014
YHR081W	hr	7.1	Christiano R	2014
YHR082C	hr	3.1	Christiano R	2014
YHR083W	hr	7.6	Christiano R	2014
YHR084W	hr	4.8	Christiano R	2014
YHR085W	hr	9.3	Christiano R	2014
YHR086W	hr	4.7	Christiano R	2014
YHR087W	hr	18.8	Christiano R	2014
YHR088W	hr	4.4	Christiano R	2014
YHR089C	hr	9.1	Christiano R	2014
YHR090C	hr	1.8	Christiano R	2014
YHR094C	hr	3.3	Christiano R	2014
YHR097C	hr	3.9	Christiano R	2014
YHR098C	hr	10.3	Christiano R	2014
YHR099W	hr	8.4	Christiano R	2014
YHR100C	hr	4.8	Christiano R	2014
YHR102W	hr	7.6	Christiano R	2014
YHR103W	hr	2.3	Christiano R	2014
YHR104W	hr	18.0	Christiano R	2014
YHR106W	hr	8.6	Christiano R	2014
YHR107C	hr	11.2	Christiano R	2014
YHR108W	hr	9.7	Christiano R	2014
YHR110W	hr	7.0	Christiano R	2014
YHR111W	hr	11.1	Christiano R	2014
YHR112C	hr	16.2	Christiano R	2014
YHR113W	hr	11.0	Christiano R	2014
YHR114W	hr	9.8	Christiano R	2014
YHR115C	hr	1.2	Christiano R	2014
YHR116W	hr	4.3	Christiano R	2014
YHR117W	hr	9.8	Christiano R	2014
YHR118C	hr	5.1	Christiano R	2014
YHR119W	hr	4.6	Christiano R	2014
YHR120W	hr	5.3	Christiano R	2014
YHR121W	hr	9.2	Christiano R	2014
YHR122W	hr	4.9	Christiano R	2014
YHR127W	hr	9.0	Christiano R	2014
YHR128W	hr	36.6	Christiano R	2014
YHR132C	hr	3.8	Christiano R	2014
YHR132W-A	hr	6.1	Christiano R	2014
YHR133C	hr	5.8	Christiano R	2014
YHR135C	hr	4.8	Christiano R	2014
YHR137W	hr	10000.0	Christiano R	2014
YHR138C	hr	2.6	Christiano R	2014
YHR142W	hr	2.7	Christiano R	2014
YHR143W-A	hr	8.0	Christiano R	2014
YHR144C	hr	11.8	Christiano R	2014
YHR146W	hr	8.0	Christiano R	2014
YHR147C	hr	5.0	Christiano R	2014
YHR148W	hr	8.1	Christiano R	2014
YHR149C	hr	2.8	Christiano R	2014
YHR152W	min	27.9	Christiano R	2014
YHR154W	hr	7.4	Christiano R	2014
YHR155W	hr	8.7	Christiano R	2014
YHR158C	hr	8.2	Christiano R	2014
YHR159W	hr	7.5	Christiano R	2014
YHR161C	hr	3.6	Christiano R	2014
YHR163W	hr	10.8	Christiano R	2014
YHR164C	hr	4.8	Christiano R	2014
YHR165C	hr	6.3	Christiano R	2014
YHR166C	hr	6.5	Christiano R	2014
YHR167W	hr	13.1	Christiano R	2014
YHR169W	hr	9.3	Christiano R	2014
YHR170W	hr	9.3	Christiano R	2014
YHR171W	hr	9.6	Christiano R	2014
YHR174W	hr	16.0	Christiano R	2014
YHR175W	min	58.1	Christiano R	2014
YHR179W	hr	21.8	Christiano R	2014
YHR181W	hr	11.3	Christiano R	2014
YHR182W	hr	7.1	Christiano R	2014
YHR183W	hr	18.6	Christiano R	2014
YHR186C	hr	15.7	Christiano R	2014
YHR187W	hr	15.9	Christiano R	2014
YHR188C	hr	9.2	Christiano R	2014
YHR190W	hr	10.2	Christiano R	2014
YHR191C	hr	8.9	Christiano R	2014
YHR192W	hr	10.5	Christiano R	2014
YHR193C	hr	10.1	Christiano R	2014
YHR195W	hr	2.2	Christiano R	2014
YHR196W	hr	10.1	Christiano R	2014
YHR197W	hr	8.3	Christiano R	2014
YHR198C	hr	11.7	Christiano R	2014
YHR199C	hr	9.1	Christiano R	2014
YHR199C-A	hr	6.5	Christiano R	2014
YHR200W	hr	15.6	Christiano R	2014
YHR201C	hr	10.0	Christiano R	2014
YHR202W	hr	4.4	Christiano R	2014
YHR205W	hr	5.0	Christiano R	2014
YHR206W	hr	5.0	Christiano R	2014
YHR207C	hr	11.0	Christiano R	2014
YHR208W	hr	16.6	Christiano R	2014
YHR209W	hr	50.6	Christiano R	2014
YHR214C-B	hr	1.2	Christiano R	2014
YHR216W	hr	14.6	Christiano R	2014
YIL002W-A	hr	4.4	Christiano R	2014
YIL003W	hr	4.6	Christiano R	2014
YIL005W	hr	4.7	Christiano R	2014
YIL007C	hr	6.6	Christiano R	2014
YIL009W	hr	8.0	Christiano R	2014
YIL010W	hr	6.3	Christiano R	2014
YIL014W	hr	5.7	Christiano R	2014
YIL016W	hr	8.5	Christiano R	2014
YIL017C	hr	4.4	Christiano R	2014
YIL019W	hr	2.5	Christiano R	2014
YIL020C	hr	12.0	Christiano R	2014
YIL021W	hr	10.8	Christiano R	2014
YIL022W	hr	9.2	Christiano R	2014
YIL026C	hr	10.3	Christiano R	2014
YIL027C	hr	9.4	Christiano R	2014
YIL030C	hr	9.9	Christiano R	2014
YIL033C	hr	10.4	Christiano R	2014
YIL034C	hr	10.2	Christiano R	2014
YIL035C	hr	10.6	Christiano R	2014
YIL036W	hr	5.9	Christiano R	2014
YIL038C	hr	8.1	Christiano R	2014
YIL039W	hr	8.8	Christiano R	2014
YIL040W	hr	17.3	Christiano R	2014
YIL041W	hr	10.0	Christiano R	2014
YIL043C	hr	9.4	Christiano R	2014
YIL044C	hr	7.4	Christiano R	2014
YIL046W	hr	8.4	Christiano R	2014
YIL048W	hr	19.9	Christiano R	2014
YIL051C	hr	11.6	Christiano R	2014
YIL052C	hr	16.2	Christiano R	2014
YIL053W	hr	14.6	Christiano R	2014
YIL055C	hr	2.2	Christiano R	2014
YIL056W	hr	3.3	Christiano R	2014
YIL062C	hr	12.1	Christiano R	2014
YIL063C	hr	8.9	Christiano R	2014
YIL064W	hr	6.1	Christiano R	2014
YIL065C	hr	9.1	Christiano R	2014
YIL068C	hr	13.3	Christiano R	2014
YIL070C	hr	10.2	Christiano R	2014
YIL074C	hr	15.5	Christiano R	2014
YIL075C	hr	9.8	Christiano R	2014
YIL076W	hr	9.8	Christiano R	2014
YIL077C	hr	8.1	Christiano R	2014
YIL078W	hr	9.9	Christiano R	2014
YIL079C	hr	6.2	Christiano R	2014
YIL083C	hr	8.1	Christiano R	2014
YIL085C	hr	5.8	Christiano R	2014
YIL088C	hr	6.1	Christiano R	2014
YIL091C	hr	9.8	Christiano R	2014
YIL093C	hr	6.0	Christiano R	2014
YIL094C	hr	12.4	Christiano R	2014
YIL095W	hr	4.5	Christiano R	2014
YIL096C	hr	8.0	Christiano R	2014
YIL097W	hr	7.5	Christiano R	2014
YIL103W	hr	8.6	Christiano R	2014
YIL104C	hr	7.5	Christiano R	2014
YIL105C	hr	5.6	Christiano R	2014
YIL106W	hr	9.5	Christiano R	2014
YIL107C	hr	7.3	Christiano R	2014
YIL108W	hr	14.4	Christiano R	2014
YIL109C	hr	13.6	Christiano R	2014
YIL110W	hr	11.5	Christiano R	2014
YIL111W	hr	4.4	Christiano R	2014
YIL112W	hr	2.7	Christiano R	2014
YIL114C	hr	4.2	Christiano R	2014
YIL115C	hr	9.7	Christiano R	2014
YIL116W	hr	12.9	Christiano R	2014
YIL117C	hr	2.1	Christiano R	2014
YIL118W	hr	16.2	Christiano R	2014
YIL119C	hr	2.0	Christiano R	2014
YIL123W	min	30.9	Christiano R	2014
YIL124W	hr	8.0	Christiano R	2014
YIL125W	hr	8.6	Christiano R	2014
YIL126W	hr	7.9	Christiano R	2014
YIL127C	hr	4.1	Christiano R	2014
YIL128W	hr	8.5	Christiano R	2014
YIL129C	hr	7.5	Christiano R	2014
YIL130W	hr	6.7	Christiano R	2014
YIL131C	hr	4.1	Christiano R	2014
YIL133C	hr	9.6	Christiano R	2014
YIL135C	hr	1.8	Christiano R	2014
YIL136W	hr	6.5	Christiano R	2014
YIL137C	hr	12.8	Christiano R	2014
YIL138C	hr	10.8	Christiano R	2014
YIL140W	hr	1.7	Christiano R	2014
YIL142W	hr	11.3	Christiano R	2014
YIL143C	hr	5.6	Christiano R	2014
YIL144W	hr	3.1	Christiano R	2014
YIL145C	hr	9.5	Christiano R	2014
YIL147C	hr	6.1	Christiano R	2014
YIL149C	hr	6.8	Christiano R	2014
YIL150C	hr	11.4	Christiano R	2014
YIL155C	hr	3.9	Christiano R	2014
YIL156W	hr	8.2	Christiano R	2014
YIL156W-B	hr	13.1	Christiano R	2014
YIL157C	hr	7.0	Christiano R	2014
YIL159W	hr	8.5	Christiano R	2014
YIL161W	hr	6.0	Christiano R	2014
YIL162W	hr	10.3	Christiano R	2014
YIR001C	hr	10.5	Christiano R	2014
YIR002C	hr	4.4	Christiano R	2014
YIR003W	hr	10.7	Christiano R	2014
YIR004W	hr	8.5	Christiano R	2014
YIR006C	hr	10.2	Christiano R	2014
YIR007W	hr	6.6	Christiano R	2014
YIR008C	hr	10.8	Christiano R	2014
YIR009W	hr	8.8	Christiano R	2014
YIR010W	hr	4.2	Christiano R	2014
YIR012W	hr	8.1	Christiano R	2014
YIR014W	hr	4.1	Christiano R	2014
YIR015W	hr	5.3	Christiano R	2014
YIR017C	hr	9.6	Christiano R	2014
YIR022W	hr	8.9	Christiano R	2014
YIR024C	hr	8.2	Christiano R	2014
YIR026C	hr	8.5	Christiano R	2014
YIR033W	hr	2.0	Christiano R	2014
YIR034C	hr	23.6	Christiano R	2014
YIR035C	hr	11.9	Christiano R	2014
YIR036C	hr	10.8	Christiano R	2014
YIR037W	hr	10.1	Christiano R	2014
YIR038C	hr	6.9	Christiano R	2014
YJL001W	hr	8.5	Christiano R	2014
YJL002C	hr	7.6	Christiano R	2014
YJL005W	hr	9.5	Christiano R	2014
YJL006C	hr	5.7	Christiano R	2014
YJL008C	hr	10.5	Christiano R	2014
YJL010C	hr	8.7	Christiano R	2014
YJL011C	hr	11.4	Christiano R	2014
YJL012C	hr	10.9	Christiano R	2014
YJL014W	hr	10.5	Christiano R	2014
YJL016W	hr	3.4	Christiano R	2014
YJL019W	hr	6.8	Christiano R	2014
YJL020C	hr	10.1	Christiano R	2014
YJL026W	hr	7.7	Christiano R	2014
YJL029C	hr	8.1	Christiano R	2014
YJL030W	hr	6.7	Christiano R	2014
YJL031C	hr	11.4	Christiano R	2014
YJL033W	hr	7.2	Christiano R	2014
YJL034W	hr	27.0	Christiano R	2014
YJL036W	hr	6.7	Christiano R	2014
YJL039C	hr	7.8	Christiano R	2014
YJL041W	hr	9.1	Christiano R	2014
YJL042W	hr	9.3	Christiano R	2014
YJL044C	hr	7.5	Christiano R	2014
YJL046W	hr	8.9	Christiano R	2014
YJL047C	hr	6.0	Christiano R	2014
YJL049W	hr	8.5	Christiano R	2014
YJL050W	hr	8.2	Christiano R	2014
YJL052W	hr	10000.0	Christiano R	2014
YJL053W	hr	11.9	Christiano R	2014
YJL054W	hr	8.2	Christiano R	2014
YJL055W	hr	17.0	Christiano R	2014
YJL057C	hr	5.2	Christiano R	2014
YJL060W	hr	12.4	Christiano R	2014
YJL061W	hr	8.7	Christiano R	2014
YJL062W	hr	6.2	Christiano R	2014
YJL062W-A	hr	6.3	Christiano R	2014
YJL063C	hr	5.7	Christiano R	2014
YJL065C	hr	10.5	Christiano R	2014
YJL066C	hr	26.9	Christiano R	2014
YJL068C	hr	13.4	Christiano R	2014
YJL069C	hr	9.1	Christiano R	2014
YJL071W	hr	6.6	Christiano R	2014
YJL073W	hr	8.1	Christiano R	2014
YJL074C	hr	9.2	Christiano R	2014
YJL076W	hr	11.8	Christiano R	2014
YJL080C	hr	12.1	Christiano R	2014
YJL081C	hr	7.1	Christiano R	2014
YJL082W	hr	7.9	Christiano R	2014
YJL084C	hr	7.5	Christiano R	2014
YJL085W	hr	10.7	Christiano R	2014
YJL087C	hr	9.3	Christiano R	2014
YJL088W	hr	10000.0	Christiano R	2014
YJL092W	hr	5.5	Christiano R	2014
YJL094C	hr	1.6	Christiano R	2014
YJL095W	hr	10.3	Christiano R	2014
YJL097W	hr	7.0	Christiano R	2014
YJL098W	hr	4.4	Christiano R	2014
YJL099W	hr	4.9	Christiano R	2014
YJL101C	hr	8.3	Christiano R	2014
YJL102W	hr	13.7	Christiano R	2014
YJL109C	hr	8.6	Christiano R	2014
YJL110C	hr	2.3	Christiano R	2014
YJL111W	hr	10.8	Christiano R	2014
YJL112W	hr	7.3	Christiano R	2014
YJL115W	hr	11.0	Christiano R	2014
YJL117W	hr	9.1	Christiano R	2014
YJL121C	hr	10.9	Christiano R	2014
YJL122W	hr	5.5	Christiano R	2014
YJL123C	hr	8.4	Christiano R	2014
YJL124C	hr	16.7	Christiano R	2014
YJL125C	hr	9.3	Christiano R	2014
YJL126W	hr	7.3	Christiano R	2014
YJL128C	hr	9.7	Christiano R	2014
YJL130C	hr	7.8	Christiano R	2014
YJL131C	hr	7.6	Christiano R	2014
YJL133C-A	min	25.0	Christiano R	2014
YJL134W	hr	9.5	Christiano R	2014
YJL139C	hr	6.1	Christiano R	2014
YJL140W	hr	10.0	Christiano R	2014
YJL141C	hr	5.0	Christiano R	2014
YJL145W	hr	11.5	Christiano R	2014
YJL146W	hr	9.1	Christiano R	2014
YJL147C	hr	3.2	Christiano R	2014
YJL148W	hr	10.1	Christiano R	2014
YJL153C	hr	24.5	Christiano R	2014
YJL154C	hr	9.6	Christiano R	2014
YJL155C	hr	10.1	Christiano R	2014
YJL156C	hr	1.0	Christiano R	2014
YJL157C	min	32.1	Christiano R	2014
