UID,BC187_YPD_Avg_log2_Fitness_Score,BC187_FDR,BY4743_YPD_Avg_log2_Fitness_Score,BY4743_FDR,DBVPG1373_YPD_Avg_log2_Fitness_Score,DBVPG1373_FDR,NCYC3290_YPD_Avg_log2_Fitness_Score,NCYC3290_FDR,Y12_YPD_Avg_log2_Fitness_Score,Y12_FDR,Y2209_YPD_Avg_log2_Fitness_Score,Y2209_FDR,Y389_YPD_Avg_log2_Fitness_Score,Y389_FDR,Y7568_YPD_Avg_log2_Fitness_Score,Y7568_FDR,YJM1273_YPD_Avg_log2_Fitness_Score,YJM1273_FDR,YJM1389_YPD_Avg_log2_Fitness_Score,YJM1389_FDR,YJM1592_YPD_Avg_log2_Fitness_Score,YJM1592_FDR,YJM978_YPD_Avg_log2_Fitness_Score,YJM978_FDR,YPS128_YPD_Avg_log2_Fitness_Score,YPS128_FDR,YPS163_YPD_Avg_log2_Fitness_Score,YPS163_FDR,YPS606_YPD_Avg_log2_Fitness_Score,YPS606_FDR
YNL085W,-0.342618665,0.082112202,-0.333094733,0.037684716,#N/A,#N/A,-1.202977629,0.00286843,-1.400208445,0.000417435,0.053488224,0.90757049,-0.482248357,0.036905702,-0.351621328,0.010276178,-0.760724165,0.003999344,-1.231664539,0.000000355,-0.460726454,0.092099815,-0.061622367,0.858919683,-1.65882933,0.001152026,0.147544391,0.347084289,#N/A,#N/A
YKR106W,0.222636576,0.075940246,-0.269052973,0.059579608,-1.296148116,1.37E-22,-0.56306057,0.077258888,-0.634718409,0.006838804,0.14240192,0.64696839,0.346640201,0.004684839,-0.592667675,2.82E-09,-0.610189917,0.002801568,0.396474347,0.042933245,0.062939596,0.825216675,-0.25958701,0.382080152,0.495392714,0.021071481,0.23320511,0.055259815,-0.305451568,0.641088932
YMR061W,-0.151833774,0.349607704,0.393869672,0.000012,-0.194198324,0.039561119,-0.317234151,0.202469758,-1.81553563,9.26E-13,0.25485898,0.317198207,-0.152047803,0.392121071,-0.322395416,0.000844238,-0.797501113,0.000175603,-1.363893563,4.43E-13,-0.259046654,0.232061829,-0.083049395,0.787560442,-0.621690749,0.029706293,-0.027314685,0.832594245,0.130651466,0.79746541
YPL004C,0.006144492,0.972480673,-0.066224562,0.528361276,#N/A,#N/A,-0.678505035,0.00393614,-0.854905245,0.008371697,-0.139489294,0.671576742,-0.074817155,0.7685561,0.294507329,0.03619411,-1.314708971,0.000405854,-0.898522306,0.00000499,0.135278275,0.725593784,-0.397768808,0.091346605,-1.530573138,0.005547503,0.246208876,0.124966641,0.063031229,0.945285558
YHL027W,0.112874908,0.548930719,-0.151632187,0.395514425,-0.850738555,1.11E-16,-2.38994308,0.0000255,-0.320632484,0.289939034,0.467654889,0.246700436,0.110731773,0.558248561,-0.506818273,0.00000376,#N/A,#N/A,-0.800438763,0.0000538,0.147352729,0.703705329,-0.011087122,0.950746402,-0.682910629,0.035310718,0.215207144,0.056418718,-0.65139042,0.46356937
YPR056W,0.074663482,0.720777551,0.260518651,0.026614428,-0.12417084,0.233845575,0.014787166,0.978152417,-0.173858981,0.680710862,0.48898097,0.12524575,0.245694278,0.187720605,0.260192192,0.04650715,0.589821895,0.010785779,-0.870198563,0.0000923,0.055644177,0.896826678,-0.354623119,0.306088904,0.890975577,0.000646964,0.175807448,0.369397936,-0.747712959,0.401762824
YAL056W,-0.141768051,0.401856125,-0.51229802,0.0000225,-0.831123369,0.007591111,-1.394141576,0.0000229,-1.052369095,0.0000958,-0.383122421,0.162002993,-1.273862498,4.11E-10,-0.120763613,0.283678455,-0.685931624,0.015734419,-0.806536753,0.0000137,0.343334054,0.133822899,-0.182184351,0.571250625,-0.816449907,0.032013549,-0.000866966,0.991393136,-0.226586715,0.705309368
YHL040C,0.1168875,0.494385767,0.049350071,0.770223952,-0.167845875,0.072688434,-0.471014223,0.228467461,-1.151672212,0.0000701,0.490475634,0.117800614,-1.246691264,0.000000207,-0.213893842,0.113006911,-0.511763981,0.023906325,-0.695539611,0.001230751,-0.194785722,0.653770661,0.269230955,0.223402595,-1.845066766,0.000713231,-0.334323561,0.156534602,-0.64448752,0.26198596
YHL014C,0.167684975,0.289362156,0.115756408,0.578715662,-0.361940652,0.002431235,-1.533419561,0.089086693,-1.437646131,0.000000482,-0.227786557,0.488595736,-0.712549693,0.000374453,0.156275785,0.146639569,-1.027071386,0.002337679,-1.173051618,0.000000206,-0.193459355,0.520782682,-0.591131863,0.120083701,-1.760063194,0.000103639,-0.13477482,0.40792857,-0.316464721,0.615081721
YDR390C,-0.046782298,0.771098455,-0.033402673,0.800884659,-0.470247287,0.003020156,-2.34120208,0.00000494,-1.983229227,0.000000428,0.056413618,0.890736484,-0.600525072,0.007921393,0.046897258,0.74134257,-0.96083687,0.011355855,-1.591283253,1.82E-12,-0.310349841,0.259233935,-0.066754071,0.86135201,-1.480185316,0.003265472,-0.267276792,0.224411974,-1.247712959,0.136838766
YNL124W,0.036072647,0.851321751,0.372805769,0.019034789,-0.013307578,0.869648925,-0.781719352,0.222995628,-1.339567042,0.00000145,0.254652799,0.344452767,-0.447126819,0.023112109,0.047574402,0.699483641,0.359461539,0.028044347,-0.968580537,0.00000129,0.020182922,0.956345233,0.353086815,0.271427215,-0.645502975,0.042930125,-0.078247975,0.565733782,0.394183524,0.315095287
YGL228W,0.195905439,0.099247627,0.066279514,0.590264857,0.225957358,0.058103671,0.139624642,0.626802171,-0.541945492,0.027286321,-0.068477483,0.857668781,-0.421433604,0.029173596,-0.107599959,0.373209463,-0.687410268,0.009203705,-0.833797465,0.00000516,-0.21690757,0.510816798,0.21501765,0.468501061,-1.07199519,0.002347584,-0.196027499,0.317002503,0.531828976,0.300531373
YGL174W,-0.107713509,0.54852906,0.169799184,0.097660494,-0.25446554,0.060350507,0.472757297,0.036023987,-1.255714075,0.000111844,-0.108811523,0.733793393,0.31956283,0.038953808,-0.195937235,0.128260434,-0.609308772,0.005018306,0.368787212,0.04289879,0.084778261,0.793243031,-0.228276206,0.469691073,0.825371687,0.003045803,0.26863965,0.184564571,-0.28424469,0.639869413
YCR020C,-0.188144149,0.363787838,0.214260063,0.02925136,#N/A,#N/A,0.481950709,0.083183086,0.237388347,0.177308315,0.106804274,0.711070854,0.557028311,0.0000547,0.197425817,0.165115471,0.433581419,0.000424547,0.646086019,0.00018889,-0.29754062,0.114316161,-0.127641576,0.728033465,-4.541563906,1.13E-09,0.107686791,0.572296051,0.764926745,0.126063583
YGL185C,-0.003568773,0.993391635,0.135903475,0.524712823,-4.33928411,7.35E-15,-0.497263888,0.301275921,-0.661678573,0.034648022,0.416765828,0.204411995,0.606887918,0.0000286,0.01656738,0.91205626,0.617345801,0.004734479,-0.565767958,0.016123947,0.006995958,0.989621973,-0.402211401,0.239805413,0.47076505,0.046927071,0.08544897,0.545615088,-0.117449184,0.881498595
YLR142W,0.171090478,0.242124007,-0.139042484,0.320297033,#N/A,#N/A,-0.311224746,0.492924484,-1.099729093,0.000013,-0.011623212,0.966263598,0.618840183,0.0000303,-0.066883284,0.570278367,-0.901108691,0.000429232,-0.878537141,0.00000227,-0.346385668,0.161681369,0.158121808,0.518740218,-1.261378104,0.000163738,-0.198185761,0.176541733,0.128967057,0.775211987
YJL170C,-0.248280433,0.078028971,0.189548489,0.081362119,-0.642780873,0.0000227,-0.857745474,0.000846997,-0.897318069,0.000145767,0.587378817,0.01448317,0.68441489,7.36E-08,0.105339307,0.376655123,-1.241668738,0.00000879,0.360070909,0.028183243,0.251786997,0.243220704,0.035257641,0.92920383,0.82648751,0.0000649,-0.240401994,0.113066788,0.521496999,0.11174061
YPL150W,-0.262912568,0.100887111,-0.20908156,0.100018992,-3.357829011,3.97E-35,-1.048937559,0.005229316,-2.146412696,0.000000968,-0.795063415,0.004671313,-0.384414148,0.072274102,-0.206475551,0.112280241,-0.752506723,0.000462248,-1.47074535,1.26E-14,-0.271130442,0.275132142,-0.098068811,0.816674618,-1.033341861,0.032554889,-0.256231311,0.117604228,-0.720142182,0.238453938
YDR214W,0.205079038,0.124718127,-0.015195488,0.905543784,-0.905380006,0.0000684,-3.228221515,0.00000066,-1.606749577,0.00000516,0.068162522,0.87830019,-0.309556669,0.167748636,0.206032319,0.076990661,-1.759705004,0.0000024,-1.110583592,0.00000792,0.126001915,0.745630157,-0.228439155,0.526458527,-1.726604611,0.000319417,-0.07721561,0.655312682,-0.233859494,0.733547466
YHR011W,0.058772512,0.69493963,0.444845642,0.0000358,-0.287124884,0.058564213,-0.057881372,0.850433456,-0.739893291,0.009876962,0.064755188,0.869103866,-0.290127757,0.144346741,-0.002333606,0.988487578,-0.909858083,0.000753129,-0.540047254,0.007353614,-0.298364843,0.300261996,-0.168006328,0.648732943,-0.830971709,0.01384758,-0.085862446,0.453499226,-0.199699515,0.747047827
YGR013W,0.039538406,0.769853528,-0.1694022,0.228800632,-2.1918136,1.1E-12,-0.213676797,0.581216286,-1.26186679,0.0000333,-0.011138979,0.967668248,-0.292117509,0.06189459,0.006613151,0.925637382,-0.733571144,0.000497746,-1.43959981,8.03E-15,-0.062820405,0.826883897,0.391642942,0.084669023,-0.58020247,0.026950452,-0.232480666,0.066379443,-1.740463174,0.001141862
YMR083W,0.203078915,0.104613415,-0.30562902,0.01632401,-0.58981058,6.12E-11,-1.854019932,0.0000814,-1.813507641,9.47E-14,-0.038736023,0.900964174,-0.288526448,0.055839568,0.165417709,0.087070859,-0.831734595,0.000589689,-1.018570866,1.56E-08,-0.29056225,0.190976694,-0.203254608,0.332552864,-1.244622715,0.00000276,0.046733207,0.75373575,0.08436847,0.865990984
YIL155C,-0.223721318,0.156907097,-0.063299056,0.712939126,#N/A,#N/A,0.129856652,0.718791924,-2.322590945,9.02E-10,-0.291904,0.400668725,-0.278289031,0.244867971,-0.215975564,0.117404196,-0.64380015,0.007544115,-1.28906872,0.000000346,-0.476879329,0.200338368,-0.317170879,0.36054187,-1.545022862,0.001180401,-0.17160196,0.456081617,#N/A,#N/A
YOL126C,0.144168365,0.26690915,-0.426919177,0.0000289,-0.766955859,0.00000728,-0.293312017,0.377872577,-1.435184834,0.000000739,-0.417575482,0.106125834,-0.254005061,0.137813215,-0.108781711,0.399583747,-0.909756971,0.000280836,-0.848590835,0.00000465,-0.319078179,0.311362166,0.31304336,0.053840066,-0.865385696,0.026368651,-0.184477295,0.183168182,-0.587208027,0.190883356
