ORF	clone identifier
YFR013W	YFR013W::18NP_B12
YFR015C	YFR015C::6NP_G12
YFR016C	YFR016C::6NP_H1
YFR017C	YFR017C::6NP_H2
YFR018C	YFR018C::42NP_D5
YFR022W	YFR022W::6NP_H3
YFR023W	YFR023W::6NP_H4
YFR024C-A	YFR024C-A::38NP_A4
YFR025C	YFR025C::17NP_E2
YFR026C	YFR026C::38NP_A5
YFR027W	YFR027W::4EP_B6
YFR028C	YFR028C::4EP_B7
YFR029W	YFR029W::4EP_B8
YFR030W	YFR030W::17NP_E3
YFR031C	YFR031C::4EP_B9
YFR031C-A	YFR031C-A::6NP_H5
YFR032C	YFR032C::22NP_G4
YFR032C-A	YFR032C-A::22NP_G5
YFR032C-B	YFR032C-B::43NP_E2
YFR033C	YFR033C::22NP_G6
YFR034C	YFR034C::22NP_G7
YFR035C	YFR035C::22NP_G8
YFR036W	YFR036W::22NP_G9
YFR037C	YFR037C::4EP_B10
YFR038W	YFR038W::44NP_A5
YFR038W	YFR038W::47NP_A5
YFR039C	YFR039C::17NP_A3
YFR040W	YFR040W::22NP_G10
YFR041C	YFR041C::22NP_G11
YFR042W	YFR042W::4EP_B11
YFR043C	YFR043C::22NP_G12
YFR044C	YFR044C::22NP_H1
YFR045W	YFR045W::22NP_H2
YFR045W	YFR045W::44NP_A6
YFR046C	YFR046C::22NP_H3
YFR047C	YFR047C::22NP_H4
YFR048W	YFR048W::22NP_H5
YFR049W	YFR049W::22NP_H6
YFR050C	YFR050C::4EP_B12
YFR051C	YFR051C::4EP_C1
YFR052W	YFR052W::4EP_C2
YFR053C	YFR053C::22NP_H7
YFR055W	YFR055W::22NP_H8
YFR057W	YFR057W::22NP_H9
YGL001C	YGL001C::4EP_C3
YGL002W	YGL002W::24NP_F8
YGL003C	YGL003C::42NP_D6
YGL004C	YGL004C::24NP_F9
YGL005C	YGL005C::47NP_F2
YGL006W	YGL006W::39NP_H9
YGL006W-A	YGL006W-A::43NP_E3
YGL008C	YGL008C::4EP_C4
YGL009C	YGL009C::47NP_F3
YGL010W	YGL010W::24NP_F10
YGL011C	YGL011C::4EP_C5
YGL013C	YGL013C::24NP_F11
YGL014W	YGL014W::24NP_F12
YGL015C	YGL015C::24NP_G3
YGL017W	YGL017W::24NP_G5
YGL018C	YGL018C::4EP_C6
YGL019W	YGL019W::24NP_G6
YGL021W	YGL021W::24NP_G8
YGL022W	YGL022W::4EP_C7
YGL023C	YGL023C::24NP_G9
YGL023C	YGL023C::44NP_E10
YGL025C	YGL025C::38NP_A6
YGL026C	YGL026C::39NP_H10
YGL027C	YGL027C::24NP_G10
YGL028C	YGL028C::24NP_G11
YGL029W	YGL029W::24NP_G12
YGL030W	YGL030W::4EP_C8
YGL031C	YGL031C::24NP_H1
YGL032C	YGL032C::44NP_E11
YGL033W	YGL033W::44NP_E12
YGL037C	YGL037C::38NP_A8
YGL038C	YGL038C::24NP_H2
YGL039W	YGL039W::24NP_G1
YGL040C	YGL040C::4EP_C9
YGL041C-B	YGL041C-B::43NP_E4
YGL043W	YGL043W::24NP_H3
YGL044C	YGL044C::4EP_C10
YGL044C	YGL044C::13EP_C3
YGL045W	YGL045W::24NP_H4
YGL047W	YGL047W::4EP_C11
YGL048C	YGL048C::4EP_C12
YGL049C	YGL049C::24NP_H5
YGL050W	YGL050W::39NP_H11
YGL051W	YGL051W::24NP_H6
YGL053W	YGL053W::24NP_H7
YGL054C	YGL054C::24NP_H8
YGL055W	YGL055W::4EP_D1
YGL056C	YGL056C::24NP_H9
YGL057C	YGL057C::24NP_H10
YGL058W	YGL058W::24NP_H11
YGL059W	YGL059W::24NP_H12
YGL060W	YGL060W::38NP_A9
YGL061C	YGL061C::4EP_D2
YGL062W	YGL062W::39NP_H12
YGL063W	YGL063W::25NP_A1
YGL064C	YGL064C::25NP_A2
YGL065C	YGL065C::4EP_D3
YGL066W	YGL066W::25NP_A3
YGL067W	YGL067W::25NP_A4
YGL068W	YGL068W::4EP_D4
YGL070C	YGL070C::25NP_A5
YGL071W	YGL071W::25NP_A6
YGL073W	YGL073W::4EP_D5
YGL075C	YGL075C::4EP_D6
YGL076C	YGL076C::38NP_A10
YGL077C	YGL077C::25NP_A7
YGL078C	YGL078C::25NP_A8
YGL079W	YGL079W::25NP_A9
YGL080W	YGL080W::25NP_A10
YGL081W	YGL081W::25NP_A11
YGL081W	YGL081W::44NP_F2
YGL082W	YGL082W::25NP_A12
YGL083W	YGL083W::25NP_B1
YGL084C	YGL084C::25NP_B2
YGL086W	YGL086W::40NP_A1
YGL087C	YGL087C::25NP_B3
YGL089C	YGL089C::25NP_B4
YGL090W	YGL090W::25NP_B5
YGL091C	YGL091C::4EP_D7
YGL092W	YGL092W::12EP_D5
YGL093W	YGL093W::12EP_D6
YGL094C	YGL094C::40NP_A2
YGL095C	YGL095C::38NP_A11
YGL096W	YGL096W::24NP_G2
YGL097W	YGL097W::4EP_D10
YGL098W	YGL098W::4EP_D11
YGL099W	YGL099W::4EP_D12
YGL100W	YGL100W::43NP_E5
YGL101W	YGL101W::44NP_F3
YGL103W	YGL103W::4EP_E1
YGL104C	YGL104C::44NP_F4
YGL105W	YGL105W::25NP_B7
YGL107C	YGL107C::25NP_B8
YGL108C	YGL108C::25NP_B10
YGL110C	YGL110C::25NP_B11
YGL111W	YGL111W::4EP_E2
YGL112C	YGL112C::12EP_D7
YGL113W	YGL113W::4EP_E4
YGL114W	YGL114W::25NP_B12
YGL115W	YGL115W::25NP_C1
YGL116W	YGL116W::4EP_E5
YGL117W	YGL117W::25NP_C2
YGL119W	YGL119W::43NP_E6
YGL120C	YGL120C::4EP_E6
YGL121C	YGL121C::25NP_C3
YGL122C	YGL122C::4EP_E7
YGL123W	YGL123W::4EP_E8
YGL124C	YGL124C::25NP_C4
YGL125W	YGL125W::38NP_A12
YGL126W	YGL126W::25NP_C5
YGL127C	YGL127C::25NP_C6
YGL128C	YGL128C::4EP_E9
YGL129C	YGL129C::25NP_C7
YGL130W	YGL130W::4EP_E10
YGL131C	YGL131C::25NP_C8
YGL133W	YGL133W::40NP_A3
YGL134W	YGL134W::43NP_E7
YGL135W	YGL135W::25NP_C9
YGL137W	YGL137W::4EP_E11
YGL138C	YGL138C::25NP_C11
YGL139W	YGL139W::25NP_C12
YGL140C	YGL140C::25NP_D1
YGL141W	YGL141W::25NP_D2
YGL142C	YGL142C::4EP_E12
YGL143C	YGL143C::25NP_D3
YGL144C	YGL144C::47NP_F8
YGL145W	YGL145W::4EP_F1
YGL145W	YGL145W::13EP_C4
YGL146C	YGL146C::25NP_D4
YGL147C	YGL147C::25NP_D5
YGL148W	YGL148W::25NP_D6
YGL151W	YGL151W::25NP_D7
YGL153W	YGL153W::25NP_D8
YGL154C	YGL154C::25NP_D9
YGL155W	YGL155W::4EP_F3
YGL156W	YGL156W::25NP_D10
YGL157W	YGL157W::25NP_D11
YGL158W	YGL158W::25NP_D12
YGL159W	YGL159W::25NP_E1
YGL161C	YGL161C::25NP_E2
YGL162W	YGL162W::25NP_E3
YGL163C	YGL163C::25NP_E4
YGL164C	YGL164C::25NP_E5
YGL166W	YGL166W::25NP_E6
YGL167C	YGL167C::25NP_E7
YGL168W	YGL168W::25NP_E8
YGL169W	YGL169W::4EP_F4
YGL170C	YGL170C::25NP_E9
YGL171W	YGL171W::4EP_F5
YGL172W	YGL172W::4EP_F6
YGL173C	YGL173C::25NP_E10
YGL174W	YGL174W::25NP_E11
YGL175C	YGL175C::25NP_E12
YGL176C	YGL176C::25NP_F1
YGL178W	YGL178W::43NP_E8
YGL179C	YGL179C::25NP_F2
YGL180W	YGL180W::25NP_F3
YGL181W	YGL181W::25NP_F4
YGL185C	YGL185C::43NP_E9
YGL188C-A	YGL188C-A::43NP_E11
YGL191W	YGL191W::43NP_E12
YGL192W	YGL192W::43NP_F1
YGL194C	YGL194C::28NP_E11
YGL196W	YGL196W::42NP_D7
YGL196W	YGL196W::44NP_F5
YGL197W	YGL197W::28NP_F1
YGL198W	YGL198W::28NP_F2
YGL201C	YGL201C::4EP_F7
YGL202W	YGL202W::28NP_F3
YGL202W	YGL202W::44NP_F6
YGL203C	YGL203C::38NP_B1
YGL205W	YGL205W::28NP_F4
YGL207W	YGL207W::4EP_F8
YGL208W	YGL208W::28NP_F6
YGL209W	YGL209W::28NP_F7
YGL210W	YGL210W::42NP_D8
YGL211W	YGL211W::28NP_F8
YGL211W	YGL211W::44NP_F8
YGL212W	YGL212W::28NP_F9
YGL213C	YGL213C::28NP_F10
YGL216W	YGL216W::28NP_F11
YGL216W	YGL216W::44NP_F7
YGL219C	YGL219C::17NP_A4
YGL220W	YGL220W::28NP_F12
YGL221C	YGL221C::28NP_G1
YGL222C	YGL222C::28NP_G2
YGL225W	YGL225W::4EP_F9
YGL226C-A	YGL226C-A::28NP_G3
YGL226W	YGL226W::42NP_D9
YGL227W	YGL227W::28NP_G4
YGL228W	YGL228W::28NP_G5
YGL229C	YGL229C::42NP_D10
YGL230C	YGL230C::28NP_G6
YGL231C	YGL231C::28NP_G7
YGL232W	YGL232W::28NP_G8
YGL233W	YGL233W::4EP_F10
YGL234W	YGL234W::28NP_G9
YGL235W	YGL235W::1NP_D10
YGL236C	YGL236C::38NP_B2
YGL237C	YGL237C::28NP_G10
YGL237C	YGL237C::44NP_F10
YGL238W	YGL238W::12EP_D9
YGL240W	YGL240W::28NP_G11
YGL241W	YGL241W::28NP_G12
YGL242C	YGL242C::28NP_H1
YGL243W	YGL243W::28NP_H2
YGL245W	YGL245W::4EP_F12
YGL246C	YGL246C::28NP_H3
YGL247W	YGL247W::4EP_G1
YGL248W	YGL248W::28NP_H4
YGL249W	YGL249W::28NP_H5
YGL250W	YGL250W::42NP_D11
YGL251C	YGL251C::28NP_H6
YGL252C	YGL252C::28NP_H7
YGL253W	YGL253W::28NP_H8
YGL254W	YGL254W::28NP_H9
YGL256W	YGL256W::28NP_H11
YGL257C	YGL257C::28NP_H12
YGL258W	YGL258W::29NP_A1
YGL259W	YGL259W::29NP_A2
YGL261C	YGL261C::29NP_A3
YGL262W	YGL262W::29NP_A4
YGL263W	YGL263W::29NP_A5
YGR001C	YGR001C::29NP_A6
YGR002C	YGR002C::4EP_G2
YGR003W	YGR003W::29NP_A7
YGR004W	YGR004W::29NP_A8
YGR005C	YGR005C::4EP_G3
YGR006W	YGR006W::29NP_A9
YGR007W	YGR007W::29NP_A10
YGR008C	YGR008C::29NP_A11
YGR009C	YGR009C::4EP_G4
YGR010W	YGR010W::29NP_A12
YGR013W	YGR013W::4EP_G5
YGR014W	YGR014W::29NP_B1
YGR015C	YGR015C::38NP_B3
YGR016W	YGR016W::29NP_B2
YGR017W	YGR017W::29NP_B3
YGR020C	YGR020C::47NP_F11
YGR021W	YGR021W::29NP_B4
YGR023W	YGR023W::29NP_B5
YGR026W	YGR026W::42NP_D12
YGR027C	YGR027C::19NP_A3
YGR028W	YGR028W::17NP_A5
YGR029W	YGR029W::4EP_G7
YGR030C	YGR030C::4EP_G8
YGR031W	YGR031W::19NP_A4
YGR032W	YGR032W::17NP_A6
YGR033C	YGR033C::19NP_A5
YGR034W	YGR034W::19NP_A6
YGR035C	YGR035C::19NP_A7
YGR035W-A	YGR035W-A::43NP_F2
YGR036C	YGR036C::19NP_A8
YGR037C	YGR037C::19NP_A9
YGR037C	YGR037C::44NP_F11
YGR038W	YGR038W::17NP_A7
YGR040W	YGR040W::17NP_A8
YGR041W	YGR041W::42NP_E1
YGR042W	YGR042W::19NP_A10
YGR043C	YGR043C::19NP_A11
YGR044C	YGR044C::19NP_A12
YGR045C	YGR045C::19NP_B1
YGR046W	YGR046W::4EP_G9
YGR047C	YGR047C::4EP_G10
YGR048W	YGR048W::4EP_G11
YGR049W	YGR049W::47NP_F12
YGR052W	YGR052W::19NP_B2
YGR053C	YGR053C::17NP_A9
YGR054W	YGR054W::19NP_B3
YGR055W	YGR055W::19NP_B4
YGR056W	YGR056W::19NP_B5
YGR057C	YGR057C::19NP_B6
YGR058W	YGR058W::19NP_B7
YGR059W	YGR059W::19NP_B8
YGR060W	YGR060W::4EP_G12
YGR061C	YGR061C::40NP_A4
YGR062C	YGR062C::38NP_B4
YGR062C	YGR062C::44NP_F12
YGR063C	YGR063C::17NP_A10
YGR065C	YGR065C::4EP_H1
YGR066C	YGR066C::19NP_B9
YGR067C	YGR067C::19NP_B10
YGR068C	YGR068C::19NP_B11
YGR070W	YGR070W::19NP_B12
YGR071C	YGR071C::19NP_C1
YGR072W	YGR072W::47NP_G1
YGR074W	YGR074W::4EP_H2
YGR075C	YGR075C::4EP_H3
YGR076C	YGR076C::19NP_C2
YGR077C	YGR077C::19NP_C3
YGR078C	YGR078C::19NP_C4
YGR079W	YGR079W::38NP_B5
YGR080W	YGR080W::19NP_C5
YGR084C	YGR084C::19NP_C6
YGR085C	YGR085C::42NP_E2
YGR086C	YGR086C::47NP_B8
YGR087C	YGR087C::19NP_C7
YGR088W	YGR088W::19NP_C8
YGR089W	YGR089W::17NP_A11
YGR090W	YGR090W::4EP_H6
YGR092W	YGR092W::17NP_A12
YGR093W	YGR093W::41NP_C7
YGR095C	YGR095C::4EP_H9
YGR096W	YGR096W::42NP_E3
YGR097W	YGR097W::19NP_C9
YGR098C	YGR098C::4EP_H10
YGR099W	YGR099W::4EP_H11
YGR100W	YGR100W::19NP_C10
YGR101W	YGR101W::19NP_C11
YGR102C	YGR102C::19NP_C12
YGR103W	YGR103W::4EP_H12
YGR104C	YGR104C::19NP_D1
YGR105W	YGR105W::19NP_D2
YGR106C	YGR106C::17NP_B1
YGR108W	YGR108W::19NP_D3
YGR109C	YGR109C::19NP_D4
YGR110W	YGR110W::17NP_B2
YGR111W	YGR111W::38NP_B6
YGR112W	YGR112W::19NP_D5
YGR113W	YGR113W::5EP_A1
YGR116W	YGR116W::5EP_A2
YGR117C	YGR117C::47NP_B9
YGR118W	YGR118W::19NP_D6
YGR119C	YGR119C::5EP_A3
YGR120C	YGR120C::5EP_A4
YGR121C	YGR121C::19NP_D7
YGR121W-A	YGR121W-A::43NP_F3
YGR122W	YGR122W::19NP_D8
YGR124W	YGR124W::31NP_F6
YGR125W	YGR125W::31NP_F7
YGR126W	YGR126W::31NP_F8
YGR127W	YGR127W::31NP_F9
YGR128C	YGR128C::5EP_A5
YGR129W	YGR129W::31NP_F10
YGR130C	YGR130C::31NP_F11
YGR131W	YGR131W::31NP_F12
YGR132C	YGR132C::47NP_G3
YGR133W	YGR133W::31NP_G1
YGR135W	YGR135W::31NP_G2
YGR136W	YGR136W::31NP_G3
YGR138C	YGR138C::31NP_G4
YGR140W	YGR140W::5EP_A6
YGR141W	YGR141W::38NP_B7
YGR142W	YGR142W::31NP_G5
YGR143W	YGR143W::31NP_G6
YGR144W	YGR144W::31NP_G7
YGR145W	YGR145W::5EP_A7
YGR146C	YGR146C::31NP_G8
YGR146C-A	YGR146C-A::43NP_F4
YGR147C	YGR147C::5EP_A8
YGR148C	YGR148C::31NP_G9
YGR149W	YGR149W::31NP_G10
YGR150C	YGR150C::47NP_G4
YGR152C	YGR152C::38NP_B8
YGR153W	YGR153W::47NP_G5
YGR154C	YGR154C::31NP_G11
YGR155W	YGR155W::2NP_A10
YGR156W	YGR156W::5EP_A9
YGR157W	YGR157W::31NP_G12
YGR158C	YGR158C::5EP_A10
YGR161C	YGR161C::31NP_H1
YGR161W-C	YGR161W-C::43NP_F5
YGR163W	YGR163W::31NP_H2
YGR165W	YGR165W::31NP_H3
YGR166W	YGR166W::31NP_H4
YGR167W	YGR167W::31NP_H5
YGR168C	YGR168C::31NP_H6
YGR169C	YGR169C::31NP_H7
YGR169C-A	YGR169C-A::43NP_F6
YGR170W	YGR170W::31NP_H8
YGR171C	YGR171C::31NP_H9
YGR172C	YGR172C::5EP_A11
YGR173W	YGR173W::31NP_H10
YGR174C	YGR174C::31NP_H11
YGR174W-A	YGR174W-A::43NP_F7
YGR175C	YGR175C::5EP_A12
YGR177C	YGR177C::32NP_A1
YGR178C	YGR178C::32NP_A2
YGR179C	YGR179C::5EP_B1
YGR180C	YGR180C::32NP_A3
YGR180C	YGR180C::44NP_G1
YGR181W	YGR181W::32NP_A4
YGR183C	YGR183C::32NP_A5
YGR185C	YGR185C::5EP_B2
YGR186W	YGR186W::5EP_B3
YGR187C	YGR187C::32NP_A7
YGR188C	YGR188C::3NP_B10
YGR189C	YGR189C::32NP_A8
YGR191W	YGR191W::5EP_B4
YGR192C	YGR192C::32NP_A9
YGR193C	YGR193C::32NP_A10
YGR194C	YGR194C::32NP_A11
YGR195W	YGR195W::5EP_B5
YGR196C	YGR196C::32NP_A12
YGR197C	YGR197C::32NP_B1
YGR198W	YGR198W::5EP_B6
YGR199W	YGR199W::32NP_B2
YGR200C	YGR200C::38NP_B9
YGR201C	YGR201C::3NP_B11
YGR202C	YGR202C::32NP_B3
YGR203W	YGR203W::32NP_B4
YGR204C-A	YGR204C-A::43NP_F8
YGR204W	YGR204W::3NP_B12
YGR205W	YGR205W::32NP_B5
YGR206W	YGR206W::32NP_B6
YGR207C	YGR207C::32NP_B7
YGR208W	YGR208W::32NP_B8
YGR209C	YGR209C::32NP_B9
YGR210C	YGR210C::31NP_B9
YGR211W	YGR211W::5EP_B7
YGR212W	YGR212W::32NP_B10
YGR213C	YGR213C::32NP_B11
YGR214W	YGR214W::32NP_B12
YGR215W	YGR215W::32NP_C1
YGR216C	YGR216C::5EP_B8
YGR218W	YGR218W::5EP_B9
YGR220C	YGR220C::22NP_H10
YGR221C	YGR221C::22NP_H11
YGR222W	YGR222W::22NP_H12
YGR223C	YGR223C::23NP_A1
YGR224W	YGR224W::23NP_A2
YGR225W	YGR225W::23NP_A3
YGR226C	YGR226C::23NP_A4
YGR227W	YGR227W::23NP_A5
YGR229C	YGR229C::23NP_A6
YGR230W	YGR230W::23NP_A7
YGR231C	YGR231C::23NP_A8
YGR232W	YGR232W::23NP_A9
YGR233C	YGR233C::23NP_A10
YGR234W	YGR234W::23NP_A11
YGR235C	YGR235C::23NP_A12
YGR236C	YGR236C::23NP_B1
YGR237C	YGR237C::37NP_C1
YGR238C	YGR238C::17NP_B3
YGR239C	YGR239C::41NP_C8
YGR240C	YGR240C::23NP_B2
YGR241C	YGR241C::23NP_B3
YGR243W	YGR243W::23NP_B4
YGR244C	YGR244C::44NP_A8
YGR245C	YGR245C::5EP_B10
YGR246C	YGR246C::5EP_B11
YGR247W	YGR247W::23NP_B6
YGR248W	YGR248W::17NP_B4
YGR249W	YGR249W::39NP_B6
YGR250C	YGR250C::17NP_B5
YGR251W	YGR251W::5EP_B12
YGR252W	YGR252W::23NP_C10
YGR253C	YGR253C::5EP_C1
YGR254W	YGR254W::23NP_C11
YGR255C	YGR255C::39NP_F2
YGR256W	YGR256W::13NP_H2
YGR257C	YGR257C::23NP_C12
YGR258C	YGR258C::39NP_F3
YGR260W	YGR260W::13NP_H3
YGR261C	YGR261C::13NP_H4
YGR262C	YGR262C::13NP_H5
YGR263C	YGR263C::13NP_H6
YGR264C	YGR264C::5EP_C2
YGR266W	YGR266W::13NP_H7
YGR267C	YGR267C::5EP_C3
YGR268C	YGR268C::13NP_H8
YGR270W	YGR270W::13NP_H9
YGR271C-A	YGR271C-A::43NP_F9
YGR271W	YGR271W::23NP_D1
YGR273C	YGR273C::23NP_D3
YGR277C	YGR277C::5EP_C5
YGR278W	YGR278W::12EP_D11
YGR279C	YGR279C::13NP_H10
YGR280C	YGR280C::12EP_D12
YGR281W	YGR281W::13NP_H11
YGR282C	YGR282C::13NP_H12
YGR283C	YGR283C::14NP_A1
YGR284C	YGR284C::14NP_A2
YGR285C	YGR285C::14NP_A3
YGR286C	YGR286C::14NP_A4
YGR287C	YGR287C::14NP_A5
YGR288W	YGR288W::14NP_A6
YGR295C	YGR295C::23NP_D5
YHL001W	YHL001W::43NP_F10
YHL002W	YHL002W::3NP_C1
YHL003C	YHL003C::9NP_G2
YHL004W	YHL004W::43NP_F11
YHL006C	YHL006C::9NP_G1
YHL007C	YHL007C::9NP_F12
YHL008C	YHL008C::9NP_F11
YHL009C	YHL009C::9NP_F10
YHL010C	YHL010C::9NP_F9
YHL011C	YHL011C::3NP_C2
YHL012W	YHL012W::9NP_F8
YHL014C	YHL014C::9NP_F6
YHL015W	YHL015W::5EP_C8
YHL015W-A	YHL015W-A::43NP_F12
YHL016C	YHL016C::47NP_G6
YHL017W	YHL017W::9NP_F5
YHL019C	YHL019C::9NP_F4
YHL020C	YHL020C::9NP_F3
YHL021C	YHL021C::9NP_F2
YHL022C	YHL022C::9NP_F1
YHL026C	YHL026C::40NP_A6
YHL027W	YHL027W::40NP_A5
YHL028W	YHL028W::9NP_E9
YHL029C	YHL029C::9NP_E8
YHL030W	YHL030W::9NP_E7
YHL031C	YHL031C::9NP_E6
YHL032C	YHL032C::9NP_E5
YHL033C	YHL033C::9NP_E4
YHL034C	YHL034C::9NP_E3
YHL036W	YHL036W::9NP_E1
YHL038C	YHL038C::9NP_D12
YHL040C	YHL040C::9NP_D11
YHL042W	YHL042W::9NP_D10
YHL043W	YHL043W::9NP_D9
YHL044W	YHL044W::9NP_D8
YHL046C	YHL046C::9NP_D7
YHL047C	YHL047C::9NP_D6
YHR001W-A	YHR001W-A::9NP_G3
YHR003C	YHR003C::3NP_C4
YHR004C	YHR004C::3NP_C5
YHR005C	YHR005C::3NP_C6
YHR005C-A	YHR005C-A::5EP_C9
YHR006W	YHR006W::3NP_C7
YHR007C	YHR007C::5EP_C10
YHR007C-A	YHR007C-A::43NP_G2
YHR008C	YHR008C::3NP_C8
YHR009C	YHR009C::3NP_C9
YHR010W	YHR010W::9NP_G4
YHR011W	YHR011W::9NP_G5
YHR012W	YHR012W::9NP_G6
YHR013C	YHR013C::9NP_G7
YHR014W	YHR014W::9NP_G8
YHR015W	YHR015W::9NP_G9
YHR017W	YHR017W::37NP_D9
YHR018C	YHR018C::9NP_G10
YHR019C	YHR019C::5EP_C11
YHR020W	YHR020W::5EP_C12
YHR021C	YHR021C::9NP_G11
YHR021W-A	YHR021W-A::41NP_E1
YHR022C	YHR022C::9NP_G12
YHR022C-A	YHR022C-A::43NP_G3
YHR023W	YHR023W::5EP_D1
YHR024C	YHR024C::5EP_D2
YHR025W	YHR025W::3NP_C10
YHR026W	YHR026W::47NP_B2
YHR028C	YHR028C::9NP_H1
YHR029C	YHR029C::9NP_H2
YHR030C	YHR030C::9NP_H3
YHR031C	YHR031C::9NP_H4
YHR032W	YHR032W::31NP_B11
YHR033W	YHR033W::9NP_H5
YHR034C	YHR034C::9NP_H6
YHR035W	YHR035W::9NP_H7
YHR036W	YHR036W::5EP_D3
YHR037W	YHR037W::9NP_H8
YHR038W	YHR038W::9NP_H9
YHR039C	YHR039C::9NP_H10
YHR040W	YHR040W::5EP_D4
YHR041C	YHR041C::47NP_B3
YHR042W	YHR042W::12EP_E1
YHR044C	YHR044C::9NP_H11
YHR045W	YHR045W::31NP_B12
YHR046C	YHR046C::11NP_G7
YHR047C	YHR047C::11NP_G8
YHR048W	YHR048W::11NP_G9
YHR049W	YHR049W::11NP_G10
YHR050W	YHR050W::11NP_G11
YHR050W-A	YHR050W-A::43NP_G4
YHR051W	YHR051W::11NP_G12
YHR057C	YHR057C::11NP_H1
YHR058C	YHR058C::5EP_D6
YHR059W	YHR059W::3NP_C11
YHR060W	YHR060W::11NP_H2
YHR061C	YHR061C::11NP_H3
YHR062C	YHR062C::5EP_D7
YHR064C	YHR064C::31NP_C1
YHR065C	YHR065C::5EP_D8
YHR066W	YHR066W::11NP_H4
YHR067W	YHR067W::3NP_C12
YHR068W	YHR068W::5EP_D9
YHR069C	YHR069C::5EP_D10
YHR070W	YHR070W::5EP_D11
YHR071W	YHR071W::43NP_G5
YHR072W-A	YHR072W-A::11EP_G1
YHR073W	YHR073W::40NP_A7
YHR074W	YHR074W::5EP_E1
YHR075C	YHR075C::11NP_H5
YHR076W	YHR076W::11NP_H6
YHR077C	YHR077C::11NP_H7
YHR078W	YHR078W::40NP_A8
YHR079C	YHR079C::40NP_A9
YHR080C	YHR080C::11NP_H8
YHR081W	YHR081W::11NP_H9
YHR082C	YHR082C::11NP_H10
YHR083W	YHR083W::12EP_E3
YHR084W	YHR084W::11NP_H11
YHR085W	YHR085W::12EP_A6
YHR086W	YHR086W::11NP_H12
YHR086W-A	YHR086W-A::43NP_G6
YHR087W	YHR087W::12NP_A1
YHR088W	YHR088W::5EP_E4
YHR088W	YHR088W::13EP_C6
YHR089C	YHR089C::11EP_G2
YHR090C	YHR090C::43NP_G7
YHR091C	YHR091C::44NP_G2
YHR092C	YHR092C::12NP_A2
YHR094C	YHR094C::12NP_A3
YHR096C	YHR096C::12NP_A4
YHR097C	YHR097C::38NP_B10
YHR100C	YHR100C::12NP_A5
YHR101C	YHR101C::5EP_E5
YHR102W	YHR102W::11EP_G3
YHR103W	YHR103W::12NP_A6
YHR104W	YHR104W::12NP_A7
YHR105W	YHR105W::12NP_A8
YHR106W	YHR106W::38NP_B11
YHR107C	YHR107C::5EP_E6
YHR108W	YHR108W::12NP_A9
YHR109W	YHR109W::12NP_A10
YHR110W	YHR110W::12NP_A11
YHR111W	YHR111W::12NP_A12
YHR112C	YHR112C::12NP_B1
YHR113W	YHR113W::12NP_B2
YHR114W	YHR114W::12NP_B3
YHR115C	YHR115C::12NP_B4
YHR116W	YHR116W::12NP_B5
YHR117W	YHR117W::12NP_B6
YHR118C	YHR118C::5EP_E7
YHR120W	YHR120W::12NP_B7
YHR121W	YHR121W::12NP_B8
YHR122W	YHR122W::5EP_E8
YHR123W	YHR123W::12NP_B9
YHR124W	YHR124W::12NP_B10
YHR126C	YHR126C::12NP_B11
YHR127W	YHR127W::3NP_D1
YHR128W	YHR128W::11EP_G4
YHR129C	YHR129C::12NP_B12
YHR131C	YHR131C::3NP_D2
YHR132C	YHR132C::12NP_C1
YHR132W-A	YHR132W-A::23NP_D6
YHR133C	YHR133C::12NP_C2
YHR134W	YHR134W::12NP_C3
YHR135C	YHR135C::12NP_C4
YHR136C	YHR136C::12NP_C5
YHR137W	YHR137W::12NP_C6
YHR138C	YHR138C::12NP_C7
YHR139C	YHR139C::12NP_C8
YHR140W	YHR140W::31NP_C2
YHR141C	YHR141C::43NP_G9
YHR142W	YHR142W::4NP_C4
YHR143W	YHR143W::4NP_C5
YHR143W-A	YHR143W-A::5EP_E9
YHR146W	YHR146W::17NP_E4
YHR147C	YHR147C::4NP_C6
YHR148W	YHR148W::5EP_E10
YHR149C	YHR149C::43NP_G10
YHR150W	YHR150W::38NP_B12
YHR151C	YHR151C::4NP_C7
YHR152W	YHR152W::4NP_C8
YHR153C	YHR153C::4NP_C9
YHR154W	YHR154W::40NP_A10
YHR155W	YHR155W::40NP_A11
YHR156C	YHR156C::4NP_C10
YHR157W	YHR157W::4NP_C11
YHR158C	YHR158C::40NP_A12
YHR159W	YHR159W::4NP_C12
YHR160C	YHR160C::4NP_D1
YHR161C	YHR161C::4NP_D2
YHR162W	YHR162W::31NP_C3
YHR163W	YHR163W::4NP_D3
YHR166C	YHR166C::5EP_E12
YHR167W	YHR167W::4NP_D4
YHR168W	YHR168W::31NP_C4
YHR169W	YHR169W::11EP_G5
YHR170W	YHR170W::5EP_F1
YHR171W	YHR171W::17NP_E5
YHR172W	YHR172W::5EP_F2
YHR175W-A	YHR175W-A::43NP_G11
YHR176W	YHR176W::4NP_D5
YHR177W	YHR177W::4NP_D6
YHR179W	YHR179W::38NP_C1
YHR181W	YHR181W::31NP_C5
YHR182W	YHR182W::4NP_D8
YHR183W	YHR183W::4NP_D9
YHR184W	YHR184W::4NP_D10
YHR185C	YHR185C::3NP_D3
YHR186C	YHR186C::5EP_F3
YHR187W	YHR187W::43NP_G12
