,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
74,gs_ind_0,hyperosmotic_stress_resistance,10/31,0.3664242711473128,0.6558088190509557,1.1869559394669882,1.1916603279512554,MOT3;ERG5;SNQ2;PDE2;SSK2;CTT1;ERG3;SOD2;CAT2;SSK1
75,gs_ind_0,intracellular_transport,30/101,0.3958405297425067,0.6685521804634171,1.0703132071600552,0.9919061839197394,VPS16;PEP1;POR1;UBI4;PMA1;PHO84;SNX41;TOM70;MYO2;PHO4;PEX11;PKC1;GCN2;RIM101;PEX5;FZO1;TUB2;VPS8;YIF1;TOM40;STU2;PDR1;ATG8;VPS35;PEX15;VPS34;ATG11;SNF3;MSN2;CRZ1
76,gs_ind_0,invasive_growth,20/75,0.6528293375205783,0.831752933729922,0.9650125127742953,0.41151948749385325,HHT2;IME1;PHO84;CYR1;RLM1;PMT2;RAS1;PKC1;RIM101;STE4;TUB2;ATG8;AFT2;RPL29;TPS2;VPS34;BRE5;STE14;SNF3;MSN2
77,gs_ind_0,inviable,98/312,0.10079337055194504,0.3938857754821284,1.1312041504539558,2.5957545872484586,PKH1;TRX2;TOP1;CLB1;TOP2;NAM8;WHI5;KEX2;GAS5;RLM1;MOT3;SUA7;CLB3;GAS1;TOA1;VRP1;PKC1;MNN10;TUB2;RFC2;PSA1;THR4;HOM3;INO1;APN1;GRX1;CLB4;TDH1;RRD2;PPH21;MYO2;CLN2;PRP24;RAD54;EST3;TUB1;HHF2;SRS2;YDJ1;ERG28;ARV1;CHS1;CIN8;GPI13;TDH3;NSP1;GAS2;RPL7B;SKN1;RAD51;PAP2;NUP116;BUB2;CLB6;TOP3;ERG3;SWI6;STE4;SSA1;PCL1;CDC24;REC102;POL2;FAR1;RAD5;NEO1;SSQ1;SIR3;HOM2;HHT2;CDC25;ERG5;SPO14;HOF1;UBI4;SPT7;RRD1;BIK1;GSC2;SLX1;KIP1;NUP100;SGS1;STE23;DOA4;AKR1;SSA2;CLB2;SWI1;SSA3;PCH2;PPH22;TAM41;PMS1;CLA4;CCT3;SGD1;ADE6
78,gs_ind_0,ionic_stress_resistance,7/13,0.04465287938442409,0.366179402662554,1.9815185927410377,6.160217298495256,SNQ2;TPS2;FRE4;TIR4;ERG13;YHK8;CRZ1
79,gs_ind_0,ionizing_radiation_resistance,39/133,0.40812778458522553,0.6685521804634171,1.0538980737262298,0.9444770599568173,HHT2;RAD51;APN1;RAD26;SMC6;RAD23;RAD7;UBI4;RRD1;CYR1;RAD2;PDE2;MSH2;PPH21;PMT2;PCK1;ERG3;SIZ1;PEP7;HUL4;RAD55;FET3;RAD61;RAD54;VPS8;SRS2;HMO1;PDR1;CAT2;SWI1;RNR2;PMS1;CBF2;RAD5;PSO2;TDP1;ADH1;ADE6;MSN2
80,gs_ind_0,killer_toxin_resistance,28/93,0.3698456712089692,0.6558088190509557,1.0859190209085896,1.0801304917743,MNN1;SAP185;SKN1;ELP4;PMR1;RPB2;PMA1;RRD1;UBA4;KEX2;LRE1;SED1;SGS1;RPS14A;HAT1;DPH1;MNN10;SAS3;THO2;KTR4;MHP1;VPS54;TUM1;CIT1;ELP2;ELP3;ADH1;RPL28
81,gs_ind_0,lifespan,28/80,0.1055482936619622,0.3946588371708152,1.2650373607675225,2.8445461477098473,HHT2;PKH1;ERV25;SAK1;ZWF1;TSA1;UBI4;SOD2;YAK1;CTT1;HCM1;PYC2;PKC1;GCN2;CAT5;FZO1;KSP1;INP1;RIF2;ATG8;SET2;IFH1;RNR2;VPS35;YEA6;ATG11;PDA1;MSN2
82,gs_ind_0,lipid_particle_morphology,18/64,0.5463270895698553,0.7896492387060093,1.0202873201114675,0.6168018615662177,ARV1;SEC5;PET10;YJU3;LDS2;FAA4;DGA1;TGL4;FAS2;ERD1;MAF1;TAT2;SEC1;FIT2;UBI4;ATG8;INO1;ENV9
83,gs_ind_0,mating_efficiency,55/186,0.35178915431744606,0.6549926192722381,1.0609682094974784,1.10841818384305,HHT2;SAK1;RAD51;PAP2;TOP1;ZWF1;RPB2;CWC2;CTS1;SPE1;UBI4;PMA1;KEX2;MOT3;RRI1;YPS1;PAN2;PRP46;IME2;ASG7;MFA2;CTT1;DAS2;STE23;TAF5;SWI6;RAS1;NIP100;RAD55;PPQ1;STE4;RAD54;RAD61;DAN1;SUN4;CLB2;CNM67;HHF2;AGA2;ARP3;YGL138C;SUM1;YDJ1;SWI1;CDC33;SOK2;PMS1;FAR1;CIN8;PHO8;STE14;EAR1;SIR3;MSN2;INO1
